factor,environment,factor_value_numeric,n_seeds,per_member_rows,unique_rows,p,nominal_n_over_p,unique_n_over_p,id_rmse,far_nll,far_auroc,far_spearman,gram_condition
bootfull,InvertedPendulum-v5,0.2,25,2000.0,1813.0,201.0,9.950248756218905,9.019900497512438,0.01565465837717051,0.9622283774614334,0.8673061334000001,0.5602067675645384,477229904.55388075
bootfull,InvertedPendulum-v5,0.3,25,3000.0,2592.0,201.0,14.92537313432836,12.895522388059698,0.01565268699079747,1.1419048253819346,0.8630647960000001,0.5392039213784621,477229904.55388075
bootfull,InvertedPendulum-v5,0.5,25,5000.0,3935.0,201.0,24.875621890547265,19.577114427860696,0.015651238337159097,1.3567414292693138,0.8598150974,0.5319054509645101,477229904.55388075
bootfull,InvertedPendulum-v5,0.99,25,9900.0,6284.0,201.0,49.25373134328358,31.2636815920398,0.01565205810591574,1.5324602311849593,0.8574686716,0.525294611810642,477229904.55388075
bootfull,Pusher-v5,0.0,25,10000.0,10000.0,201.0,49.75124378109453,49.75124378109453,0.054135644733905745,1.3498828220367431,0.9994411318,0.7567655648631676,1238311635.4145255
bootfull,Pusher-v5,0.01,25,100.0,100.0,201.0,0.4975124378109453,0.4975124378109453,0.05649106934666629,1.3707632637023925,0.9999403452,0.8377638400991779,1238311635.4145255
bootfull,Pusher-v5,0.02,25,200.0,198.0,201.0,0.9950248756218906,0.9850746268656717,0.05868481904268261,1.0118806385993957,0.9999998964,0.9167434542907056,1238311635.4145255
bootfull,Pusher-v5,0.03,25,300.0,296.0,201.0,1.492537313432836,1.472636815920398,0.05552509739994997,0.7944411253929138,0.9999996588000001,0.8902240194809362,1238311635.4145255
bootfull,Pusher-v5,0.05,25,500.0,488.0,201.0,2.487562189054726,2.427860696517413,0.05456482708454127,0.6982559418678284,0.999988024,0.8391187450420777,1238311635.4145255
bootfull,Pusher-v5,0.1,25,1000.0,952.0,201.0,4.975124378109452,4.736318407960199,0.05426682353019711,0.7859159350395203,0.9999401928,0.8005472609818329,1238311635.4145255
bootfull,Pusher-v5,0.2,25,2000.0,1813.0,201.0,9.950248756218905,9.019900497512438,0.054192506670951796,0.9555051803588868,0.9998201212,0.7784618595830743,1238311635.4145255
bootfull,Pusher-v5,0.3,25,3000.0,2592.0,201.0,14.92537313432836,12.895522388059698,0.05416740074753758,1.0341059637069703,0.9997457828,0.7638397609282545,1238311635.4145255
