environment,factor,factor_value,id_rmse,far_nll,far_auroc,far_spearman
Humanoid-v5,rank,40,60.123419443766274,4.006818329846418,0.3443660096296297,0.7613099086479614
Humanoid-v5,rank,5,60.124676598442925,4.015571673711141,0.34467800851851854,0.7593250569511846
Humanoid-v5,ridge,0.0,60.125836266411675,4.047718939957796,0.32017646981481485,0.7708021615617815
Humanoid-v5,ridge,0.0001,61.19181753087927,4.02108590691178,0.36782238166666664,0.7152361978600391
Humanoid-v5,ridge,0.0003,63.74650785658095,4.014726418036002,0.36282228777777775,0.7216596195043984
Humanoid-v5,ridge,0.001,60.14062160915799,4.009586272416292,0.35703205722222225,0.7311382972338849
Humanoid-v5,ridge,0.003,60.12512602629485,4.00842637485928,0.3503862548148148,0.7459546203723627
Humanoid-v5,ridge,0.01,60.123224046495224,4.010165046762537,0.3443490824074073,0.756825451954022
Humanoid-v5,ridge,0.1,60.12283395837854,4.019219389668217,0.33601436944444446,0.7690090079221553
Humanoid-v5,ridge,1.0,60.12322376392506,4.03216090908757,0.33072874388888884,0.7710439853955249
Humanoid-v5,ridge,1e-05,606.4819405167191,4.048864859121817,0.38293177740740736,0.6955900186839583
Humanoid-v5,scale,0.25x,60.12041586416739,4.150321898636995,0.3181210509259259,0.7709479484454215
Humanoid-v5,scale,0.5x,60.12116552282263,4.055825560181229,0.33398580129629635,0.7655066394473741
Humanoid-v5,scale,0.75x,60.12206748679832,4.026452479539095,0.3398704703703704,0.7644348315714233
Humanoid-v5,scale,1.0x,60.123224046495224,4.010165046762537,0.3443490824074073,0.756825451954022
Humanoid-v5,scale,1.5x,60.12353247183341,3.996029924463343,0.34914832759259257,0.7565103294122452
Humanoid-v5,scale,2.0x,60.12482113308377,3.9889460846229836,0.3545593577777777,0.7465282187371147
Humanoid-v5,scale,4.0x,60.13357416788737,3.979266811300207,0.36531383407407403,0.7270523776867809
HumanoidStandup-v5,bootstrap,0.0,40.823031178227176,8.378056755772343,0.7638070646296294,0.721050627542121
HumanoidStandup-v5,bootstrap,0.05,84.02932400173611,6.284792723479094,0.9770032396296296,0.9658693695917122
HumanoidStandup-v5,bootstrap,0.075,51.07783367015697,5.573695094497116,0.9798041387037036,0.9476072463022168
HumanoidStandup-v5,bootstrap,0.1,45.67391868873879,5.4832206125612615,0.9741391609259259,0.8875501315683739
HumanoidStandup-v5,bootstrap,0.15,42.148591430098925,5.609553072187635,0.9524278012962962,0.7755783722031852
HumanoidStandup-v5,bootstrap,0.2,41.32409872832122,5.865887995119448,0.9276984707407407,0.7170697647327373
HumanoidStandup-v5,bootstrap,0.3,40.96146894384314,6.399761005684182,0.8897756142592593,0.6627226883861667
HumanoidStandup-v5,bootstrap,0.5,40.84693343551071,7.153102486221878,0.8416183475925926,0.6571878349909152
HumanoidStandup-v5,bootstrap,0.99,40.834366409866895,7.786064872035274,0.8012003298148149,0.6900201118959176
HumanoidStandup-v5,calib,1024,241.0907711452908,7.585636686395715,0.972152337962963,0.95118832951147
HumanoidStandup-v5,calib,2048,47.15962784378617,5.506283936677156,0.9756923042592592,0.9011578030496348
HumanoidStandup-v5,calib,4096,41.32246794524016,5.865518393339934,0.927700243148148,0.7170289526406767
HumanoidStandup-v5,calib,512,22937.324313693578,11.643849160936144,0.9388297592592594,0.9840217084068805
HumanoidStandup-v5,calib,8192,40.86033856427228,7.073862534982187,0.8459794218518518,0.6629309593993442
HumanoidStandup-v5,layer,first,41.28379963062428,6.7678079781708895,0.8763879685185186,0.7486335148752142
