environment,factor,factor_value,id_rmse,far_nll,far_auroc,far_spearman
InvertedPendulum-v5,rank,20,0.015547427169692058,-0.7121493957506922,0.9186127555769231,0.72573337910235
InvertedPendulum-v5,rank,30,0.015561981717697702,-0.7141680390788958,0.915967023076923,0.7149500742945111
InvertedPendulum-v5,rank,40,0.015528282293906579,-0.7290979048523766,0.919367060576923,0.7257612440586876
InvertedPendulum-v5,rank,5,0.015600096111973891,-0.7022625801081841,0.9176540921153846,0.7185781912051199
InvertedPendulum-v5,ridge,0.0,0.016650522199387733,-0.8736551048663946,0.939820671346154,0.8325028705576882
InvertedPendulum-v5,ridge,0.0001,0.015547427169692058,-0.7121493957506922,0.9186127555769231,0.72573337910235
InvertedPendulum-v5,ridge,0.0003,0.015459072471667942,-0.40017657096569353,0.9022958817307691,0.6764807079649806
InvertedPendulum-v5,ridge,0.001,0.01543158065312757,-0.1511513778510002,0.8938828992307694,0.6437862955304781
InvertedPendulum-v5,ridge,0.003,0.015425141023185391,0.017329381635555856,0.8884618236538461,0.6208424786403268
InvertedPendulum-v5,ridge,0.01,0.015448657813696908,0.09109180148404378,0.8858918184615384,0.6084884402424545
InvertedPendulum-v5,ridge,0.1,0.01565827660334225,-0.09869620003379308,0.891113916346154,0.626780877761904
InvertedPendulum-v5,ridge,1.0,0.01622619001696316,-0.5166206901463178,0.9057475884615384,0.6907887163087013
InvertedPendulum-v5,ridge,1e-05,0.13420971010166866,1.0070868822244496,0.8688387100000001,0.9666939161589856
InvertedPendulum-v5,scale,0.25x,0.015410353375885349,1.1083761350466654,0.8680866009615384,0.533696358130057
InvertedPendulum-v5,scale,0.5x,0.015416258265479254,-0.14975855671442473,0.8951024690384612,0.6437969052438274
InvertedPendulum-v5,scale,0.75x,0.015459422362395205,-0.5558899738467656,0.9113910973076924,0.6917113186551517
InvertedPendulum-v5,scale,1.0x,0.015547427169692058,-0.7121493957506922,0.9186127555769231,0.72573337910235
InvertedPendulum-v5,scale,1.5x,0.01921777785397493,-0.7924597547031366,0.8886005326923078,0.7658259246009428
InvertedPendulum-v5,scale,2.0x,0.04857991141482042,-0.09508129376738977,0.8619817376923076,0.8904337114166434
InvertedPendulum-v5,scale,4.0x,0.18194603060300535,1.0772435275407939,0.8610099765384616,0.9666855289877727
Pusher-v5,bootstrap,0.0,0.05407126391163239,1.184429136606363,0.9996495107692309,0.7619054528451582
Pusher-v5,bootstrap,0.05,0.0585249477567581,1.0181151238771586,0.9999998926923078,0.9148684923387843
Pusher-v5,bootstrap,0.075,0.055445666353289895,0.7965758534578177,0.9999994761538461,0.8851996219149166
Pusher-v5,bootstrap,0.1,0.054730357888799444,0.7112529140252334,0.9999968969230768,0.8618079807495025
Pusher-v5,bootstrap,0.15,0.05434742942452431,0.7078931767206925,0.9999844884615384,0.8279840311042894
Pusher-v5,bootstrap,0.2,0.054240918933199,0.7404758013211764,0.9999662207692308,0.8148378705660045
Pusher-v5,bootstrap,0.3,0.0541700182052759,0.8087680775385636,0.999929406153846,0.7936598994140353
Pusher-v5,bootstrap,0.5,0.054118659920417346,0.9091586883251483,0.9998594492307691,0.7769912620330762
Pusher-v5,bootstrap,0.99,0.054093601898505136,0.9772659563101255,0.9997879538461538,0.7595695266070048
Pusher-v5,calib,1024,0.05646368574637633,1.4085763784555287,0.9999376880769231,0.8384377075501963
Pusher-v5,calib,2048,0.058791570795270115,1.0159383851748247,0.9999998476923077,0.9161254799764642
Pusher-v5,calib,4096,0.05473036032456618,0.7112608047632071,0.9999968953846154,0.8618121573851562
Pusher-v5,calib,512,0.057383957104041025,2.1194479694733253,0.9996325413461538,0.8089802429148192
Pusher-v5,calib,8192,0.05420777488213319,0.7596496939659119,0.9999579384615386,0.8087571453299834
Pusher-v5,layer,first,0.05477708449157385,0.9062707126140594,0.9999884873076924,0.879315253700491
Pusher-v5,layer,multi,0.054730357888799444,0.7112529140252334,0.9999968969230768,0.8618079807495025
Pusher-v5,rank,1,0.05584273558969681,0.8233175942530999,0.9999810442307694,0.8026069592551669
Pusher-v5,rank,10,0.05475539542161501,0.7202061529342945,0.9999962053846155,0.855592435494635
Pusher-v5,rank,15,0.05474818325959719,0.7164021065601935,0.9999971534615385,0.8626528898967406
Pusher-v5,rank,2,0.05506651461697542,0.7462460811321552,0.9999939215384616,0.8397489328194179
Pusher-v5,rank,20,0.054730357888799444,0.7112529140252334,0.9999968969230768,0.8618079807495025
Pusher-v5,rank,30,0.054707246187787786,0.7188039330335764,0.9999958242307692,0.8609835095270923
Pusher-v5,rank,40,0.054694572606912024,0.719171038040748,0.9999977615384614,0.8560337018535097
Pusher-v5,rank,5,0.0547955699551564,0.7221085406266726,0.9999959188461538,0.8583824287901689
Pusher-v5,ridge,0.0,0.055033214103717074,1.0384316948743968,0.9999820023076923,0.8617350937601848
Pusher-v5,ridge,0.0001,0.054730357888799444,0.7112529140252334,0.9999968969230768,0.8618079807495025
Pusher-v5,ridge,0.0003,0.054655933466095194,0.7227339652868418,0.9999927353846153,0.8528678038281987
Pusher-v5,ridge,0.001,0.054579975083470345,0.8495908035681798,0.9999808103846154,0.8457912833024142
Pusher-v5,ridge,0.003,0.05451537640048908,1.112104397553664,0.9999449688461539,0.8407769905977449
Pusher-v5,ridge,0.01,0.054468268815141455,1.6428743279897249,0.9997910246153846,0.835075127217269
Pusher-v5,ridge,0.1,0.05458787327202467,3.1145466566085815,0.998374583846154,0.8198735756075165
Pusher-v5,ridge,1.0,0.05533369601919101,3.6460239520439734,0.9974992467307693,0.8031084312472072
Pusher-v5,ridge,1e-05,0.05494276907008428,0.9827432311498202,0.9999960673076924,0.8793871216910175
Pusher-v5,scale,0.25x,0.05403683965022747,2.892648302591764,0.9963047059615384,0.7198424256238739
Pusher-v5,scale,0.5x,0.054185934364795685,1.0756818698002741,0.999841456730769,0.798906380288199
Pusher-v5,scale,0.75x,0.05445915245665954,0.7647225077335651,0.9999868276923076,0.8396229911576936
Pusher-v5,scale,1.0x,0.054730357888799444,0.7112529140252334,0.9999968969230768,0.8618079807495025
Pusher-v5,scale,1.5x,0.055188650981738016,0.7699757745632758,0.9999996246153846,0.8804351349000724
Pusher-v5,scale,2.0x,0.05556206505459089,0.8829609270279224,0.9999997815384615,0.8916014955496828
Pusher-v5,scale,4.0x,0.05652575424084297,1.2997134694686303,0.99999804,0.9047373167589683
Reacher-v5,bootstrap,0.0,0.08480571840818112,1.256798083965595,0.9885757603846154,0.8809500675113789
Reacher-v5,bootstrap,0.05,0.08917244294515023,0.09348944975779606,0.9932317342307692,0.8758561766018444
Reacher-v5,bootstrap,0.075,0.08595510113697785,0.023992859865896977,0.9901651696153847,0.8906060652293052
Reacher-v5,bootstrap,0.1,0.08562105980056983,0.1574406140985397,0.9894340513461538,0.8878469471602491
Reacher-v5,bootstrap,0.15,0.08526367235642213,0.3872468133385365,0.9892090421153845,0.886388829202012
Reacher-v5,bootstrap,0.2,0.08510029487884961,0.5309077581534019,0.9892365811538463,0.8819716678989123
Reacher-v5,bootstrap,0.3,0.08493487794811909,0.7221767822137246,0.9891201550000001,0.884687377981266
Reacher-v5,bootstrap,0.5,0.08487399982718322,0.9128096378766574,0.9889817305769231,0.883153691132639
Reacher-v5,bootstrap,0.99,0.08482948146187343,1.0547710955142975,0.9888293261538461,0.8818168512918638
Reacher-v5,calib,1024,0.0890761547936843,0.24086492451337668,0.9829893475000001,0.858625539655429
Reacher-v5,calib,2048,0.08748817787720607,0.09268649773170742,0.9885614876923076,0.8760161330604613
Reacher-v5,calib,4096,0.08917595388797614,0.09364969089913827,0.9932304657692309,0.8760307141261142
Reacher-v5,calib,512,0.09298279566260484,0.15089403064205095,0.966537740576923,0.8368498028421858
Reacher-v5,calib,8192,0.08564511657907413,0.17245995676001677,0.9895073261538463,0.8889673290921679
Reacher-v5,layer,first,0.08697893327245346,0.16972520001805746,0.9938714786538461,0.7900552169472769
Reacher-v5,layer,multi,0.08917244294515023,0.09348944975779606,0.9932317342307692,0.8758561766018444
Reacher-v5,rank,1,0.09123952572162335,0.09273892132422099,0.993189571923077,0.8666376999230871
Reacher-v5,rank,10,0.08931516110897064,0.08954837946937634,0.9932544007692309,0.8796315219111164
Reacher-v5,rank,15,0.08903728052973747,0.09056904532301885,0.9931989323076924,0.8792186500495007
Reacher-v5,rank,2,0.08967924060729834,0.09037730427315602,0.9931649246153845,0.8718036930350878
Reacher-v5,rank,20,0.08917244294515023,0.09348944975779606,0.9932317342307692,0.8758561766018444
Reacher-v5,rank,30,0.08931552131588642,0.09177831101876038,0.9933195007692308,0.8791780029164518
Reacher-v5,rank,40,0.08951637091544959,0.0884732103978212,0.9932476400000001,0.876542944375551
Reacher-v5,rank,5,0.08912767355258648,0.08933964686898085,0.993195400576923,0.8812625438073312
Reacher-v5,ridge,0.0,0.10925113209165059,0.8868853793694422,0.9896367836538461,0.8493853607338828
Reacher-v5,ridge,0.0001,0.08917244294515023,0.09348944975779606,0.9932317342307692,0.8758561766018444
Reacher-v5,ridge,0.0003,0.08767888895594157,-0.009678817596488023,0.9927588890384614,0.8760639669497006
Reacher-v5,ridge,0.001,0.0868190317772902,-0.02939760707466541,0.9920300232692308,0.8761035917149224
Reacher-v5,ridge,0.003,0.08641055971384048,0.0640717534115538,0.9911757048076925,0.8752731760180686
Reacher-v5,ridge,0.01,0.0861925408244133,0.2989530090529185,0.9900364136538463,0.8729605438947783
Reacher-v5,ridge,0.1,0.08613463835074352,0.9121357385928814,0.9878470738461538,0.8649775846482345
Reacher-v5,ridge,1.0,0.08657148337134948,1.1461010896242583,0.9868828669230769,0.8543955117216654
Reacher-v5,ridge,1e-05,0.33609882856790835,1.603072308577024,0.9534607773076922,0.8599843017721904
Reacher-v5,scale,0.25x,0.08501574683647889,0.2675753066746088,0.9904452013461538,0.8540411302041877
Reacher-v5,scale,0.5x,0.08627460037286465,-0.0381459857408817,0.9924258528846153,0.8615303761599369
Reacher-v5,scale,0.75x,0.08768738576999077,0.006483224523925366,0.9930149878846154,0.8659232175000066
Reacher-v5,scale,1.0x,0.08917244294515023,0.09348944975779606,0.9932317342307692,0.8758561766018444
Reacher-v5,scale,1.5x,0.093013563981423,0.2682322057393881,0.9932556175000001,0.884059263338574
Reacher-v5,scale,2.0x,0.0975887096272065,0.43645640176076156,0.9931163278846153,0.8892205600580406
Reacher-v5,scale,4.0x,0.2412803195990049,1.3668994032419646,0.9777514919230769,0.8334294238836928
Swimmer-v5,bootstrap,0.0,0.029883428580231138,0.9868052336904738,0.9997288492592591,0.6155175950228126
Swimmer-v5,bootstrap,0.05,0.06351186983563283,1.450780612451059,0.9952084988888891,0.7310512229953162
Swimmer-v5,bootstrap,0.075,0.031986253474045684,0.6808979268427249,0.9989664911111111,0.6539538245464805
Swimmer-v5,bootstrap,0.1,0.030808917833147226,0.6313997838232253,0.9994209074074075,0.6682831840417811
Swimmer-v5,bootstrap,0.15,0.030342063211180544,0.7000355135511469,0.9994729718518519,0.6521036091473594
Swimmer-v5,bootstrap,0.2,0.03020874355678205,0.7471300209010089,0.9995240392592593,0.6501509358666311
Swimmer-v5,bootstrap,0.3,0.030056050599173264,0.8121352151588157,0.9995882681481482,0.631674277835336
Swimmer-v5,bootstrap,0.5,0.029953128554754786,0.8453468680381775,0.9996809992592591,0.6330685255747783
Swimmer-v5,bootstrap,0.99,0.029898942551679082,0.8846270905600654,0.9997068751851854,0.6178275528502213
Swimmer-v5,calib,1024,0.0339011260204845,1.0163808950671442,0.9982474405555555,0.5710674075911338
Swimmer-v5,calib,2048,0.06069520136548413,1.0956459608342912,0.9896350088888889,0.6572131056143706
Swimmer-v5,calib,4096,0.06918299253340121,1.4966531285533198,0.99494269,0.7411792396436516
Swimmer-v5,calib,512,0.036986410410867795,1.3058972513234173,0.9979213138888888,0.5539290586721721
Swimmer-v5,calib,8192,0.030738384152452152,0.6399661026619099,0.9994411787037039,0.6597574047114898
Swimmer-v5,layer,first,0.06771346160935031,1.3106340788028858,0.9951799620370371,0.6738688787418099
Swimmer-v5,layer,multi,0.06351186983563283,1.450780612451059,0.9952084988888891,0.7310512229953162
Swimmer-v5,rank,1,0.08512286434846895,1.4818326808788158,0.9950329144444443,0.745418562062334
Swimmer-v5,rank,10,0.07245118591796469,1.517030574657299,0.993883637037037,0.7535802811423289
Swimmer-v5,rank,15,0.06627212954616105,1.3009481010613617,0.9951168674074075,0.6838397524334913
Swimmer-v5,rank,2,0.09928859342579488,1.6379263908774764,0.9940074727777779,0.7712924707577947
Swimmer-v5,rank,20,0.06351186983563283,1.450780612451059,0.9952084988888891,0.7310512229953162
Swimmer-v5,rank,30,0.07056010038488442,1.3582686119609408,0.99452722,0.6805692490776306
Swimmer-v5,rank,40,0.06730175087297405,1.4241732734221,0.9955406212962962,0.7168056953933367
Swimmer-v5,rank,5,0.06049644602117715,1.3397187060779996,0.9961577059259258,0.7157061192963016
Swimmer-v5,ridge,0.0,0.0368586502003449,1.0259822739495172,0.9987239296296296,0.6497813678745656
Swimmer-v5,ridge,0.0001,0.06351186983563283,1.450780612451059,0.9952084988888891,0.7310512229953162
Swimmer-v5,ridge,0.0003,0.033176917030855464,0.7004353183287161,0.9992529925925927,0.6596001650232568
Swimmer-v5,ridge,0.001,0.03125978150853404,0.7604069489019888,0.9994346870370371,0.6427811546569508
Swimmer-v5,ridge,0.003,0.031024724383045127,0.9590978799042879,0.9994360168518519,0.6172647026246473
Swimmer-v5,ridge,0.01,0.030847862914756493,1.2749738251721416,0.9993948681481482,0.5756360613394216
Swimmer-v5,ridge,0.1,0.030844866815540526,1.9798981083763971,0.9992597237037038,0.4856247700022067
Swimmer-v5,ridge,1.0,0.031589527510934405,2.4276872520093566,0.9991825327777778,0.43250550684399874
Swimmer-v5,ridge,1e-05,0.6653861624223215,4.336714400185479,0.9968086987037038,0.9083656525380103
Swimmer-v5,scale,0.25x,0.0358277503401041,0.892052913153613,0.9990528805555555,0.6252376572166649
Swimmer-v5,scale,0.5x,0.033994075945682,0.7142914290781375,0.9977735818518519,0.6305790730090677
Swimmer-v5,scale,0.75x,0.04787287757628494,0.8895404714125174,0.9971406357407407,0.6422014951571782
Swimmer-v5,scale,1.0x,0.06351186983563283,1.450780612451059,0.9952084988888891,0.7310512229953162
Swimmer-v5,scale,1.5x,0.2274188815995499,2.8751987174705222,0.9926133718518519,0.8981729404980308
Swimmer-v5,scale,2.0x,0.4122057016249056,3.4926206270853677,0.9949687944444444,0.9127038785213388
Swimmer-v5,scale,4.0x,0.8894288744087573,4.519369699336864,0.9963191501851852,0.9045261148721144
Walker2d-v5,bootstrap,0.0,0.6111033073178044,3.0078528192308216,0.9975347425925927,0.36127437123963396
Walker2d-v5,bootstrap,0.05,0.6739483674367269,1.759052316347758,0.9930700001851851,0.408475580897616
Walker2d-v5,bootstrap,0.075,0.6384089920255873,1.7004799533773352,0.9956939377777779,0.35274523234270716
Walker2d-v5,bootstrap,0.1,0.6271596573017262,1.796377702995583,0.99650147,0.34276049769990985
Walker2d-v5,bootstrap,0.15,0.6193914303073177,2.000887884034051,0.997236635925926,0.3488788774321019
Walker2d-v5,bootstrap,0.2,0.6164268012400027,2.1793621204517506,0.9976214968518518,0.354292619475707
Walker2d-v5,bootstrap,0.3,0.6138927053522181,2.390735723354198,0.9977864733333335,0.3533004039871245
Walker2d-v5,bootstrap,0.5,0.6123680472373962,2.612991558180915,0.997856661111111,0.3577962395070092
Walker2d-v5,bootstrap,0.99,0.6115484149367721,2.7719054222106934,0.9979024744444445,0.36054122372668335
Walker2d-v5,calib,1024,0.6493915098684805,1.7014096622113828,0.995318162962963,0.3728553506177819
Walker2d-v5,calib,2048,0.6214929311363785,1.9384060303370159,0.9970764859259259,0.34855427787337057
Walker2d-v5,calib,4096,0.6138927031446386,2.390735281838311,0.9977864729629631,0.35330042163819175
Walker2d-v5,calib,512,0.6796657840410868,1.751493458394651,0.9861177996296294,0.33591662925629173
Walker2d-v5,calib,8192,0.6115542274934275,2.750794419535884,0.9978181274074075,0.35837377004903703
Walker2d-v5,layer,first,0.6013045487580476,5.729498933862756,0.9905621461111112,0.35675703518991436
Walker2d-v5,layer,multi,0.6138927053522181,2.390735723354198,0.9977864733333335,0.3533004039871245
Walker2d-v5,rank,1,0.630723668469323,3.2436442728395813,0.9956791512962965,0.34782296167919957
Walker2d-v5,rank,10,0.6140906457547788,2.3865046854372376,0.9977312401851852,0.35480690132135606
Walker2d-v5,rank,15,0.6139995433666088,2.3633607228597007,0.9979255794444444,0.35867410280731343
Walker2d-v5,rank,2,0.6182206096472563,2.5289164825722024,0.9973587103703705,0.35656001418743744
Walker2d-v5,rank,20,0.6138927053522181,2.390735723354198,0.9977864733333335,0.3533004039871245
Walker2d-v5,rank,30,0.6138247339813797,2.3742654853396945,0.9979343916666666,0.3538552672554437
Walker2d-v5,rank,40,0.6138122081756592,2.3835280427226313,0.9979303303703704,0.3546204067679894
Walker2d-v5,rank,5,0.6145406497849358,2.40234473016527,0.997795191851852,0.3570806161492967
Walker2d-v5,ridge,0.0,0.6139534292397676,2.148724004074379,0.9979751135185185,0.33701719129604824
Walker2d-v5,ridge,0.0001,0.6140058349680018,2.000878126532943,0.9980265018518518,0.33406580214167336
Walker2d-v5,ridge,0.0003,0.6139200241477402,2.053014115050987,0.9980749805555555,0.3398715586755685
Walker2d-v5,ridge,0.001,0.6138618036552712,2.1483056810167103,0.9980582587037037,0.3482357455161799
Walker2d-v5,ridge,0.003,0.6138484654603181,2.2585375618051597,0.9979818646296296,0.35117220311747943
Walker2d-v5,ridge,0.01,0.6138927053522181,2.390735723354198,0.9977864733333335,0.3533004039871245
Walker2d-v5,ridge,0.1,0.6143300731976827,2.6833967985930265,0.9969989320370372,0.35674803358792884
Walker2d-v5,ridge,1.0,0.6163210559774328,3.1147550212012396,0.9943642892592591,0.3565427469884699
Walker2d-v5,ridge,1e-05,0.6143015623092651,1.98244544311806,0.9975877183333332,0.32142421411312555
Walker2d-v5,scale,0.25x,0.5838303830888536,7.155784712897407,0.9781422685185185,0.34517493246505465
Walker2d-v5,scale,0.5x,0.5955253684962237,3.930729212584319,0.9934155631481482,0.35835774762686357
Walker2d-v5,scale,0.75x,0.6055015767062152,2.8595109780629477,0.9967666998148148,0.35961314584431153
Walker2d-v5,scale,1.0x,0.6138927053522181,2.390735723354198,0.9977864733333335,0.3533004039871245
Walker2d-v5,scale,1.5x,0.6253768845840737,2.042722503344218,0.9984326768518519,0.35118438481791725
Walker2d-v5,scale,2.0x,0.6318519468660708,1.943957593705919,0.9986171972222222,0.34920580405584567
Walker2d-v5,scale,4.0x,0.639195183912913,1.8877046329003793,0.9986988892592593,0.3396996209946184
