factor,environment,metric,anchor_value,factor_value,n_paired_seeds,mean_diff,ci95_lo,ci95_hi,materially_worse
scale,Swimmer-v5,id_rmse,8.0,2.0,27,-0.027684119495528722,-0.047973401358323196,-0.007394837632734248,False
scale,Swimmer-v5,id_rmse,8.0,4.0,27,-0.029517793889950836,-0.04833590874763691,-0.01069967903226476,False
scale,Swimmer-v5,id_rmse,8.0,6.0,27,-0.015638992259347888,-0.04280348973866368,0.011525505219967903,False
scale,Swimmer-v5,id_rmse,8.0,12.0,27,0.1639070117639171,0.08216803704537269,0.2456459864824615,True
scale,Swimmer-v5,id_rmse,8.0,16.0,27,0.3486938317892728,0.18617608296601001,0.5112115806125357,True
scale,Swimmer-v5,id_rmse,8.0,32.0,27,0.8259170045731244,0.682628119533335,0.9692058896129139,True
scale,Swimmer-v5,far_nll,8.0,2.0,27,-0.5587276992974458,-0.8463201071741953,-0.2711352914206964,False
scale,Swimmer-v5,far_nll,8.0,4.0,27,-0.7364891833729215,-1.0032333414403682,-0.46974502530547463,False
scale,Swimmer-v5,far_nll,8.0,6.0,27,-0.5612401410385415,-0.8347833065164971,-0.2876969755605858,False
scale,Swimmer-v5,far_nll,8.0,12.0,27,1.4244181050194635,1.0903612924612716,1.7584749175776555,True
scale,Swimmer-v5,far_nll,8.0,16.0,27,2.041840014634309,1.6122192494409502,2.4714607798276678,True
scale,Swimmer-v5,far_nll,8.0,32.0,27,3.0685890868858055,2.743620810064225,3.393557363707386,True
scale,Swimmer-v5,far_auroc,8.0,2.0,27,0.0038443816666666538,0.00216015941969426,0.005528603913639048,False
scale,Swimmer-v5,far_auroc,8.0,4.0,27,0.002565082962962975,0.00021240952063652802,0.004917756405289422,False
scale,Swimmer-v5,far_auroc,8.0,6.0,27,0.0019321368518518626,-0.00014791076298518438,0.00401218446668891,False
scale,Swimmer-v5,far_auroc,8.0,12.0,27,-0.002595127037037052,-0.005040317894809662,-0.00014993617926444165,False
