environment,seed,factor,factor_value,factor_value_numeric,anchor_value,relative_to_anchor,status,error_message,git_commit,ridge_center,scale,subspace_dimension_K,ensemble_size_M,bootstrap_fraction,calibration_size,calibration_pool_size,per_member_calibration_size,unique_calibration_rows,feature_dimension_p,nominal_n_over_p,unique_n_over_p,layer_scope,direction_family,id_rmse,id_nll,id_total_variance,id_residual,near_rmse,near_nll,near_auroc,mid_rmse,mid_nll,mid_auroc,far_rmse,far_nll,far_auroc,far_spearman,construction_time_sec,gram_rank,gram_min_eig,gram_condition,normalized_ridge,mean_delta_w_norm,notes
Swimmer-v5,500,rank,2,2,20,0.1,ok,,70fb480,zero,8.0,2,50,0.05,204,4096,204,199,201,1.0149253731343284,0.9900497512437811,multi,random,0.0433468222618103,-1.870039939880371,0.05168698728084564,0.014223539789146714,NA,NA,NA,NA,NA,NA,0.6871086955070496,1.2504591941833496,0.99463033,0.6175411782669696,0.4989490509033203,201,0.05058727739772892,8458258.263471993,1.983483927322205e-08,7.991395950317383,
Swimmer-v5,500,rank,5,5,20,0.25,ok,,70fb480,zero,8.0,5,50,0.05,204,4096,204,199,201,1.0149253731343284,0.9900497512437811,multi,random,0.02608632855117321,-1.9513823986053467,0.013676122762262821,0.014163367522255658,NA,NA,NA,NA,NA,NA,0.6336306929588318,1.1110247373580933,0.99918189,0.534574188082553,0.5243971347808838,201,0.03805796889754162,11544640.754366573,1.8841419808781787e-08,7.990423679351807,
Swimmer-v5,500,rank,20,20,20,1.0,ok,,70fb480,zero,8.0,20,50,0.05,204,4096,204,199,201,1.0149253731343284,0.9900497512437811,multi,random,0.03132136911153793,-1.8881579637527466,0.02636897563934326,0.014307993656251605,NA,NA,NA,NA,NA,NA,0.6829827427864075,1.2775636911392212,0.99788955,0.7507455027682118,0.549755334854126,201,0.06324468994564712,6893135.9959394615,1.8921749597721817e-08,7.984094142913818,
Swimmer-v5,500,rank,40,40,20,2.0,ok,,70fb480,zero,8.0,40,50,0.05,204,4096,204,199,201,1.0149253731343284,0.9900497512437811,multi,random,0.055210474878549576,-1.6125918626785278,0.13032445311546326,0.014725879141769361,NA,NA,NA,NA,NA,NA,0.8238268494606018,1.9154350757598877,0.99693988,0.7451426838818977,0.5800790786743164,201,0.06090074802794271,7642022.762416951,1.7870735936851848e-08,8.01771068572998,
Swimmer-v5,500,rank,10,10,20,0.5,ok,,70fb480,zero,8.0,10,50,0.05,204,4096,204,199,201,1.0149253731343284,0.9900497512437811,multi,random,0.029584337025880814,-1.9271634817123413,0.01694512367248535,0.014404096555789241,NA,NA,NA,NA,NA,NA,0.5745037794113159,1.090479850769043,0.9985398799999999,0.47999579397283787,0.5296392440795898,201,0.07065897028650561,6263883.793676568,1.8758615226343667e-08,8.00490665435791,
Swimmer-v5,500,rank,15,15,20,0.75,ok,,70fb480,zero,8.0,15,50,0.05,204,4096,204,199,201,1.0149253731343284,0.9900497512437811,multi,random,0.02449106238782406,-2.004225254058838,0.009330186061561108,0.014014998004666438,NA,NA,NA,NA,NA,NA,0.5629491209983826,0.9446861147880554,0.99906549,0.5916137957256876,0.5734248161315918,201,0.06550194703517268,6743978.092182907,1.8637667041991007e-08,7.999017238616943,
Swimmer-v5,500,rank,30,30,20,1.5,ok,,70fb480,zero,8.0,30,50,0.05,204,4096,204,199,201,1.0149253731343284,0.9900497512437811,multi,random,0.022624976933002472,-2.012972593307495,0.008998548611998558,0.01432892395104454,NA,NA,NA,NA,NA,NA,0.5117497444152832,0.9085617661476135,0.9992519900000001,0.5163594971302421,0.6014149188995361,201,0.07092164575189441,6476891.457159862,1.8100765448838532e-08,7.993022441864014,
Swimmer-v5,500,bootstrap,0.0,0.0,0.05,0.0,ok,,70fb480,zero,8.0,20,50,0.0,4096,4096,4096,4096,201,20.378109452736318,20.378109452736318,multi,random,0.01881030760705471,-2.29328989982605,0.002669545356184244,0.014307993656251605,NA,NA,NA,NA,NA,NA,0.5585471987724304,0.8840548396110535,0.99989755,0.7049824426942842,0.5587320327758789,201,0.06324468994564712,6893135.9959394615,1.8921749597721817e-08,7.984094142913818,
Swimmer-v5,500,bootstrap,0.05,0.05,0.05,1.0,ok,,70fb480,zero,8.0,20,50,0.05,204,4096,204,199,201,1.0149253731343284,0.9900497512437811,multi,random,0.03132136911153793,-1.8881579637527466,0.02636897563934326,0.014307993656251605,NA,NA,NA,NA,NA,NA,0.6829827427864075,1.2775636911392212,0.99788955,0.7507455027682118,0.5368547439575195,201,0.06324468994564712,6893135.9959394615,1.8921749597721817e-08,7.984094142913818,
Swimmer-v5,500,bootstrap,0.1,0.1,0.05,2.0,ok,,70fb480,zero,8.0,20,50,0.1,409,4096,409,389,201,2.0348258706467663,1.935323383084577,multi,random,0.020212965086102486,-2.234081268310547,0.00360783445648849,0.014307993656251605,NA,NA,NA,NA,NA,NA,0.5553247332572937,0.6285510063171387,0.9993445400000001,0.70530481617728,0.9237089157104492,201,0.06324468994564712,6893135.9959394615,1.8921749597721817e-08,7.984094142913818,
