factor,environment,metric,anchor_value,anchor_metric,curve_min,curve_max,curve_range,n_swept_values,min_seeds_per_value,verdict
rank,HalfCheetah-v5,far_auroc,20.0,0.9872366683333333,0.9855876396296296,0.9872366683333333,0.0016490287037037588,8,27,flat
rank,HalfCheetah-v5,far_spearman,20.0,0.28186701249774776,0.2636268531450346,0.31446054451414357,0.05083369136910898,8,27,flat
rank,Hopper-v5,id_rmse,20.0,0.18357799560935406,0.1833983190633632,0.19385207747971567,0.01045375841635246,8,27,worse
rank,Hopper-v5,far_nll,20.0,0.3539498812622494,0.3539498812622494,0.7184245751963722,0.36447469393412274,8,27,worse
rank,Hopper-v5,far_auroc,20.0,0.9806847922222223,0.9704812935185184,0.9830352109259259,0.012553917407407522,8,27,flat
rank,Hopper-v5,far_spearman,20.0,0.6390582712292177,0.5873038090537999,0.6390582712292177,0.05175446217541779,8,27,worse
rank,Humanoid-v5,id_rmse,20.0,60.123224046495224,60.123224046495224,60.126859735559535,0.0036356890643105544,8,27,flat
rank,Humanoid-v5,far_nll,20.0,4.010165046762537,4.006818329846418,4.0958688788943824,0.08905054904796472,8,27,flat
rank,Humanoid-v5,far_auroc,20.0,0.3443490824074074,0.33267471518518515,0.34467800851851854,0.012003293333333387,8,27,flat
rank,Humanoid-v5,far_spearman,20.0,0.756825451954022,0.756825451954022,0.7643934849586054,0.007568033004583419,8,27,flat
rank,HumanoidStandup-v5,id_rmse,20.0,41.32409872832122,41.286827581900134,41.44324203773781,0.15641445583767677,8,27,flat
rank,HumanoidStandup-v5,far_nll,20.0,5.865887995119448,5.849008206967954,6.091662424582022,0.24265421761406802,8,27,worse
rank,HumanoidStandup-v5,far_auroc,20.0,0.9276984707407407,0.9069530612962963,0.9284742653703704,0.021521204074074096,8,27,worse
rank,HumanoidStandup-v5,far_spearman,20.0,0.7170697647327373,0.7024633892070049,0.7176313564880261,0.01516796728102121,8,27,flat
rank,InvertedDoublePendulum-v5,id_rmse,20.0,0.04266555879551626,0.04266555879551626,0.08514238166837734,0.04247682287286108,8,26,sharp
rank,InvertedDoublePendulum-v5,far_nll,20.0,1.4183602333068848,1.3526708162747896,1.8033022788854747,0.4506314626106851,8,26,sharp
rank,InvertedDoublePendulum-v5,far_auroc,20.0,0.9957522492307693,0.9947271996153847,0.9957522492307693,0.0010250496153846322,8,26,flat
rank,InvertedDoublePendulum-v5,far_spearman,20.0,0.9338810579870972,0.9326247746139043,0.9500233383142705,0.0173985637003663,8,26,flat
rank,InvertedPendulum-v5,id_rmse,20.0,0.015547427169692015,0.015483507026846553,0.016409675680244155,0.0009261686533976014,8,26,worse
rank,InvertedPendulum-v5,far_nll,20.0,-0.7121493957506922,-0.7290979048523766,-0.5621814693395908,0.1669164355127858,8,26,worse
rank,InvertedPendulum-v5,far_auroc,20.0,0.9186127555769231,0.9137491792307693,0.9204483636538462,0.0066991844230769315,8,26,flat
rank,InvertedPendulum-v5,far_spearman,20.0,0.72573337910235,0.6984833346405512,0.7324960208196178,0.03401268617906661,8,26,worse
rank,Pusher-v5,id_rmse,20.0,0.054730357888799396,0.05469457260691198,0.055842735589696775,0.0011481629827847922,8,26,flat
rank,Pusher-v5,far_nll,20.0,0.7112529140252334,0.7112529140252334,0.8233175942530999,0.11206468022786653,8,26,worse
rank,Pusher-v5,far_auroc,20.0,0.9999968969230769,0.9999810442307692,0.9999977615384616,1.671730769248203e-05,8,26,flat
rank,Pusher-v5,far_spearman,20.0,0.8618079807495025,0.8026069592551669,0.8626528898967407,0.06004593064157382,8,26,worse
rank,Reacher-v5,id_rmse,20.0,0.08917244294515017,0.08903728052973744,0.09123952572162332,0.0022022451918858738,8,26,flat
rank,Reacher-v5,far_nll,20.0,0.09348944975779604,0.08847321039782118,0.09348944975779604,0.005016239359974861,8,26,flat
rank,Reacher-v5,far_auroc,20.0,0.9932317342307692,0.9931649246153846,0.9933195007692308,0.0001545761538461754,8,26,flat
rank,Reacher-v5,far_spearman,20.0,0.8758561766018444,0.8666376999230871,0.8812625438073312,0.01462484388424401,8,26,flat
rank,Swimmer-v5,id_rmse,20.0,0.06351186983563278,0.06049644602117712,0.09928859342579485,0.038792147404617734,8,27,sharp
rank,Swimmer-v5,far_nll,20.0,1.450780612451059,1.3009481010613617,1.6379263908774764,0.33697828981611466,8,27,worse
rank,Swimmer-v5,far_auroc,20.0,0.995208498888889,0.993883637037037,0.996157705925926,0.002274068888889036,8,27,flat
rank,Swimmer-v5,far_spearman,20.0,0.7310512229953162,0.6805692490776304,0.7712924707577946,0.09072322168016422,8,27,sharp
rank,Walker2d-v5,id_rmse,20.0,0.6138927053522181,0.6138122081756592,0.630723668469323,0.01691146029366386,8,27,flat
rank,Walker2d-v5,far_nll,20.0,2.390735723354198,2.3633607228597007,3.2436442728395813,0.8802835499798807,8,27,worse
rank,Walker2d-v5,far_auroc,20.0,0.9977864733333334,0.9956791512962964,0.9979343916666666,0.0022552403703702817,8,27,flat
rank,Walker2d-v5,far_spearman,20.0,0.3533004039871244,0.34782296167919946,0.35867410280731343,0.010851141128113972,8,27,flat
bootstrap,Ant-v5,id_rmse,0.1,0.6303842067718506,0.5893944810937952,0.6420240269766914,0.052629545882896145,9,27,flat
bootstrap,Ant-v5,far_nll,0.1,1.1105868021647136,1.0347339378462896,1.2099957112912778,0.17526177344498817,9,27,flat
bootstrap,Ant-v5,far_auroc,0.1,0.9978463020370371,0.9967174533333334,0.9985377727777779,0.001820319444444496,9,27,flat
bootstrap,Ant-v5,far_spearman,0.1,0.8482334680696765,0.7942470470786718,0.8779378608396159,0.08369081376094412,9,27,worse
bootstrap,HalfCheetah-v5,id_rmse,0.3,1.3398027817408245,1.3210855854882135,92.24609035915799,90.92500477366977,9,27,worse
bootstrap,HalfCheetah-v5,far_nll,0.3,2.186953315028438,2.186953315028438,7.3837877732736095,5.1968344582451715,9,27,sharp
bootstrap,HalfCheetah-v5,far_auroc,0.3,0.9872366683333333,0.9806794668518519,0.9874284351851853,0.006748968333333383,9,27,flat
bootstrap,HalfCheetah-v5,far_spearman,0.3,0.28186701249774776,0.11223138533646095,0.9371308010651965,0.8248994157287356,9,27,sharp
bootstrap,Hopper-v5,id_rmse,0.3,0.18357799560935406,0.18193451839464678,9.18622703022427,9.004292511829624,9,27,worse
bootstrap,Hopper-v5,far_nll,0.3,0.3539498812622494,0.3215442429538126,4.980316638946533,4.65877239599272,9,27,worse
bootstrap,Hopper-v5,far_auroc,0.3,0.9806847922222223,0.9429858188888889,0.9840290735185185,0.041043254629629655,9,27,worse
bootstrap,Hopper-v5,far_spearman,0.3,0.6390582712292177,0.6028319053161397,0.9303298373559505,0.3274979320398108,9,27,sharp
bootstrap,Humanoid-v5,id_rmse,0.3,60.123224046495224,60.1192828990795,230.64879749439382,170.5295145953143,9,27,worse
bootstrap,Humanoid-v5,far_nll,0.3,4.010165046762537,3.7667616738213434,6.8300590691743075,3.063297395352964,9,27,worse
bootstrap,Humanoid-v5,far_auroc,0.3,0.3443490824074074,0.3259328787037037,0.7597679914814814,0.43383511277777775,9,27,flat
bootstrap,Humanoid-v5,far_spearman,0.3,0.756825451954022,0.728695569632229,0.9556133277633864,0.22691775813115733,9,27,worse
bootstrap,HumanoidStandup-v5,id_rmse,0.2,41.32409872832122,40.823031178227176,84.02932400173611,43.20629282350894,9,27,worse
bootstrap,HumanoidStandup-v5,far_nll,0.2,5.865887995119448,5.4832206125612615,8.378056755772343,2.894836143211082,9,27,sharp
bootstrap,HumanoidStandup-v5,far_auroc,0.2,0.9276984707407407,0.7638070646296297,0.9798041387037038,0.2159970740740741,9,27,sharp
bootstrap,HumanoidStandup-v5,far_spearman,0.2,0.7170697647327373,0.6571878349909152,0.965869369591712,0.30868153460079684,9,27,sharp
bootstrap,InvertedDoublePendulum-v5,id_rmse,0.05,0.04266555879551626,0.03451709137656362,0.1168210675510076,0.08230397617444399,9,26,sharp
bootstrap,InvertedDoublePendulum-v5,far_nll,0.05,1.4183602333068848,1.4183602333068848,2.835205458677732,1.4168452253708472,9,26,sharp
bootstrap,InvertedDoublePendulum-v5,far_auroc,0.05,0.9957522492307693,0.995250916923077,0.9975020728846153,0.0022511559615383536,9,26,flat
bootstrap,InvertedDoublePendulum-v5,far_spearman,0.05,0.9338810579870972,0.9338810579870972,0.9832518402248951,0.049370782237797894,9,26,flat
bootstrap,InvertedPendulum-v5,id_rmse,0.05,0.015547427169692015,0.015362160226616673,0.015547427169692015,0.00018526694307534168,9,26,flat
bootstrap,InvertedPendulum-v5,far_nll,0.05,-0.7121493957506922,-0.7121493957506922,1.4957383991434023,2.2078877948940945,9,26,sharp
bootstrap,InvertedPendulum-v5,far_auroc,0.05,0.9186127555769231,0.8635715363461538,0.9186127555769231,0.05504121923076932,9,26,sharp
