environment,factor,id_rmse_range,far_nll_range,far_auroc_range,far_spearman_range,id_rmse_anchor,far_nll_anchor,far_auroc_anchor,far_spearman_anchor
Hopper-v5,calib,379.980973813749,5.822281176845233,0.090733777962963,0.3348422276520534,0.1835779956093541,0.3539498812622494,0.9806847922222223,0.6390582712292177
Hopper-v5,ridge,0.008451869916739022,0.1346552681039881,0.02798554703703704,0.014538573204341154,0.1835779956093541,0.3539498812622494,0.9806847922222223,0.6390582712292177
Hopper-v5,layer,0.05681003092334503,0.3294880169409293,0.05058862777777784,0.0015547323300241223,0.1835779956093541,0.3539498812622494,0.9806847922222223,0.6390582712292177
Humanoid-v5,scale,0.00021885559080797666,0.17105508733678798,0.04719278314814812,0.04389557075864059,60.123224046495224,4.010165046762537,0.3443490824074073,0.756825451954022
Humanoid-v5,rank,6.0470627148985876e-05,0.08905054904796472,0.012003293333333387,0.00756803300458353,60.123224046495224,4.010165046762537,0.3443490824074073,0.756825451954022
Humanoid-v5,bootstrap,2.836333501733679,3.063297395352964,0.4338351127777779,0.22691775813115733,60.123224046495224,4.010165046762537,0.3443490824074073,0.756825451954022
Humanoid-v5,calib,1824.0297263080101,9.281375602439597,0.38705069222222216,0.2831432874900197,60.123224046495224,4.010165046762537,0.3443490824074073,0.756825451954022
Humanoid-v5,ridge,9.087322165821037,0.0404384842625376,0.06275530759259251,0.07545396671156657,60.123224046495224,4.010165046762537,0.3443490824074073,0.756825451954022
Humanoid-v5,layer,4.658021883761341e-05,0.07469509266041019,0.01800055351851837,0.012784149794507371,60.123224046495224,4.010165046762537,0.3443490824074073,0.756825451954022
Walker2d-v5,scale,0.09018644519044101,5.268080079997027,0.020556620740740827,0.01991352484969311,0.6138927053522181,2.390735723354198,0.9977864733333335,0.3533004039871245
Walker2d-v5,rank,0.02754790885479082,0.8802835499798807,0.0022552403703701707,0.010851141128113861,0.6138927053522181,2.390735723354198,0.9977864733333335,0.3533004039871245
Walker2d-v5,bootstrap,0.10237140720358534,1.3073728658534864,0.004832474259259367,0.06571508319770614,0.6138927053522181,2.390735723354198,0.9977864733333335,0.3533004039871245
Walker2d-v5,calib,0.11095026207972392,1.0493847573245014,0.011700327777778075,0.03693872136149018,0.6138927053522181,2.390735723354198,0.9977864733333335,0.3533004039871245
Walker2d-v5,ridge,0.004027724218837303,1.1323095780831796,0.00371069129629642,0.035323819474803286,0.6138927053522181,2.390735723354198,0.9977864733333335,0.3533004039871245
Walker2d-v5,layer,0.020505466972356442,3.3387632105085583,0.0072243272222223265,0.003456631202789884,0.6138927053522181,2.390735723354198,0.9977864733333335,0.3533004039871245
HumanoidStandup-v5,scale,0.028845152504334358,2.960790740119087,0.1999311748148147,0.04921952342502034,41.32409872832122,5.865887995119448,0.9276984707407407,0.7170697647327373
