sweep,value,is_default,env,seed,family,k,M,subset,lambda_reg,bootstrap_frac,layer_scope,perturbation_size,size_selected_by_valnll,rmse_val,nll_val,rmse_id,nll_id,nll_ood_near,nll_ood_mid,nll_ood_far,auroc_ood_near,auroc_ood_mid,auroc_ood_far,train_time,eval_time
bootstrap,0.0,False,HalfCheetah-v5,0,random,20,50,10000,0.0,0.0,multi,5.0,True,1.6505160331726074,0.18746039271354675,1.5518051385879517,0.13422727584838867,5.149437427520752,2.5044779777526855,1.7420412302017212,0.7121732199999999,0.8810454950000001,0.981603475,10.694942712783813,0.2025895118713379
bootstrap,0.1,True,HalfCheetah-v5,0,random,20,50,10000,0.0,0.1,multi,5.0,True,1.6492201089859009,0.17946062982082367,1.5528628826141357,0.1308887004852295,3.435732126235962,2.2250633239746094,1.6341232061386108,0.732459795,0.9269826800000001,0.9889599549999999,12.155849933624268,0.3981611728668213
bootstrap,0.25,False,HalfCheetah-v5,0,random,20,50,10000,0.0,0.25,multi,5.0,True,1.6504995822906494,0.1816241592168808,1.5519754886627197,0.13161391019821167,4.37234354019165,2.3867268562316895,1.6730091571807861,0.718664795,0.8999144,0.98525843,9.706150531768799,0.2081434726715088
bootstrap,0.5,False,HalfCheetah-v5,0,random,20,50,10000,0.0,0.5,multi,5.0,True,1.6508281230926514,0.18459685146808624,1.551761507987976,0.13289564847946167,4.539900779724121,2.4461143016815186,1.704306960105896,0.7137653500000001,0.8881633250000001,0.983939155,10.840904712677002,0.19291329383850098
bootstrap,0.75,False,HalfCheetah-v5,0,random,20,50,10000,0.0,0.75,multi,5.0,True,1.650521159172058,0.18523061275482178,1.5516000986099243,0.13312916457653046,4.730932235717773,2.4848570823669434,1.7164040803909302,0.7126705100000001,0.88410028,0.98351491,10.079424619674683,0.20802783966064453
bootstrap,0.99,False,HalfCheetah-v5,0,random,20,50,10000,0.0,0.99,multi,5.0,True,1.650435447692871,0.18556807935237885,1.5518062114715576,0.1334644854068756,5.027655601501465,2.488055944442749,1.7291799783706665,0.7130068049999999,0.88315886,0.9818888699999999,10.101734161376953,0.2093644142150879
ridge,0.0,True,HalfCheetah-v5,0,random,20,50,10000,0.0,0.1,multi,5.0,True,1.6492201089859009,0.17946062982082367,1.5528628826141357,0.1308887004852295,3.435732126235962,2.2250633239746094,1.6341232061386108,0.732459795,0.9269826800000001,0.9889599549999999,12.155849933624268,0.3981611728668213
ridge,0.0001,False,HalfCheetah-v5,0,random,20,50,10000,0.0001,0.1,multi,5.0,True,1.6480255126953125,0.17776115238666534,1.5534212589263916,0.133054718375206,2.8952598571777344,2.205984354019165,1.6898878812789917,0.735280815,0.9295796949999999,0.9908274299999998,12.000541687011719,0.2164783477783203
ridge,0.01,False,HalfCheetah-v5,0,random,20,50,10000,0.01,0.1,multi,5.0,True,1.6495643854141235,0.17915832996368408,1.5527526140213013,0.13021543622016907,3.744128704071045,2.255591630935669,1.630873680114746,0.7303405100000001,0.921519265,0.9877935,10.47811484336853,0.2233445644378662
ridge,1.0,False,HalfCheetah-v5,0,random,20,50,10000,1.0,0.1,multi,5.0,True,1.6516294479370117,0.1840612292289734,1.5541342496871948,0.1337384432554245,4.419435501098633,2.3947067260742188,1.6758612394332886,0.71790173,0.8928029850000001,0.9840966200000001,12.432098865509033,0.2024829387664795
