r_target,realized_r_median,realized_r_min,realized_r_max,lambda,M,n_cal,top1,top1_std,delta_top1_pp,lcb_pp,ucb_pp,bootstrap_point_pp,seed_spread_pp,top5,nll,nll_std,ece,ece_std,brier,base_agreement,mean_pred_entropy,logit_mse_mean,logit_mse_median,logit_mse_p90,logit_mse_p95,logit_mse_p99,calib_residual,heldout_cls_residual,unc_top1,unc_delta_top1_pp,unc_nll,unc_ece,unc_base_agreement,unc_logit_mse_median,unc_logit_mse_p99,all_finite,pathology,pass_strict,pass_primary,pass_relaxed
1.0,1.0000049346948792,0.5809250225305419,1.2589429860416763,10.0,10,32768,0.934814453125,0.0005320921561939299,-0.341796875,-0.4801432291666667,-0.20751953125,-0.341796875,0.09765625,0.9942626953125,0.2157777639080757,0.0005048668166727197,0.009937424305432064,0.0006866427198580299,0.09451631182290739,0.9911295572916666,0.2164861101653999,0.011911491093669223,0.005317283185397564,0.03310211530445648,0.046436422896395955,0.07186247662653412,0.23781286510456856,0.2760158441909121,0.9381510416666666,-0.008138020833337034,0.21121816034340726,0.004122466870900566,0.9943440755208334,0.023246452101015006,0.16238021130343572,True,,False,True,True
1.0,1.0000049346948792,0.5809250225305419,1.2589429860416763,100.0,10,32768,0.9365234375,0.0003229676893389393,-0.1708984375,-0.28483072916666674,-0.05696614583333337,-0.17089843750000003,0.06103515625,0.9944254557291666,0.21244445884663818,0.0003531688170544284,0.008251396654067154,0.0006949226793427963,0.09304389958297686,0.9933675130208334,0.22048992702136905,0.012450330047472681,0.006070088007799905,0.0334546000752124,0.04597773477862128,0.07064799776478649,0.26201899797666806,0.2851290061481904,0.9381510416666666,-0.008138020833337034,0.21121816034340726,0.004122466870900566,0.9943440755208334,0.023246452101015006,0.16238021130343572,True,,False,True,True
1.0,1.0000049346948792,0.5809250225305419,1.2589429860416763,1000.0,10,32768,0.9372965494791666,0.000372930964758776,-0.09358723958333703,-0.19124348958333337,0.004069010416666652,-0.09358723958333337,0.0732421875,0.9944661458333334,0.21002583336142902,0.00022395576143296957,0.005790666325959021,0.0020692378425457235,0.09144563770269147,0.9947509765625,0.24348933924152186,0.018076756230491455,0.010265650493696559,0.044824373922400594,0.060250629066910366,0.09183084132787588,0.3464891350083043,0.3548873795539364,0.9381510416666666,-0.008138020833337034,0.21121816034340726,0.004122466870900566,0.9943440755208334,0.023246452101015006,0.16238021130343572,True,,True,True,True
1.0,1.0000049346948792,0.5809250225305419,1.2589429860416763,10000.0,10,32768,0.9376627604166666,0.00018646548237938803,-0.056966145833337034,-0.15055338541666669,0.0325520833333333,-0.05696614583333337,0.03662109375,0.9945068359375,0.2115631864060937,0.000380212636719496,0.006988436845080162,0.0005789478653308161,0.09106439994445115,0.9946695963541666,0.2767046841813601,0.02598655361000408,0.015894868346524763,0.06139688661216374,0.08196387431799113,0.12596795830223026,0.4319601758144491,0.43415072560187323,0.9381510416666666,-0.008138020833337034,0.21121816034340726,0.004122466870900566,0.9943440755208334,0.023246452101015006,0.16238021130343572,True,,True,True,True
1.25,1.2500061551334198,0.7261562570434442,1.5736787791857547,0.001,10,32768,0.93359375,0.0003229676893389393,-0.4638671875,-0.6306966145833333,-0.30110677083333337,-0.4638671875,0.06103515625,0.9941813151041666,0.22234562515831705,0.0006604152074324067,0.009898483807582738,0.0009881326596019972,0.09709574672744563,0.9875895182291666,0.22547009979076924,0.017408109928695997,0.007736838734251197,0.048451116411516955,0.06814683967642456,0.10563363421229836,0.2774133739519024,0.3298492294468031,0.9377848307291666,-0.044759114583337034,0.21979233761935404,0.008323675628728456,0.991943359375,0.041771093514892714,0.2816407799229566,True,,False,False,True
1.25,1.2500061551334198,0.7261562570434442,1.5736787791857547,0.01,10,32768,0.93359375,0.0003229676893389393,-0.4638671875,-0.6306966145833333,-0.30110677083333337,-0.4638671875,0.06103515625,0.9941813151041666,0.2223438724034765,0.0006605133890526939,0.009898588068639238,0.0009879854991396166,0.09709517435635621,0.9875895182291666,0.22546739758596815,0.017405665075927747,0.007735659055099121,0.04844275586225849,0.06814570841704869,0.10560471844602488,0.2774135515816902,0.3298305115567461,0.9377848307291666,-0.044759114583337034,0.21979233761935404,0.008323675628728456,0.991943359375,0.041771093514892714,0.2816407799229566,True,,False,False,True
1.25,1.2500061551334198,0.7261562570434442,1.5736787791857547,0.1,10,32768,0.93359375,0.0003229676893389393,-0.4638671875,-0.6306966145833333,-0.30110677083333337,-0.4638671875,0.06103515625,0.9941813151041666,0.22232725800226918,0.0006608053011518783,0.009941159304312273,0.0007382470751892853,0.09708937127714902,0.9875895182291666,0.2254469898578523,0.01738570469917562,0.0077301220229324084,0.048369443180027054,0.06806591863649501,0.1054283927382567,0.2774236568820389,0.329672770345614,0.9377848307291666,-0.044759114583337034,0.21979233761935404,0.008323675628728456,0.991943359375,0.041771093514892714,0.2816407799229566,True,,False,False,True
1.25,1.2500061551334198,0.7261562570434442,1.5736787791857547,1.0,10,32768,0.9335123697916666,0.000281909311127747,-0.47200520833333703,-0.6347656250000002,-0.3133138020833333,-0.47200520833333337,0.048828125,0.9942220052083334,0.2221834395463487,0.0006614204300371955,0.009851170581951708,0.0008701130025500258,0.09703316961238033,0.9877522786458334,0.22536883159074805,0.01727928231614496,0.007698222611779382,0.04803903001882742,0.06752454432193741,0.10463169892687972,0.27766218066025644,0.3287771098194906,0.9377848307291666,-0.044759114583337034,0.21979233761935404,0.008323675628728456,0.991943359375,0.041771093514892714,0.2816407799229566,True,,False,False,True
1.25,1.2500061551334198,0.7261562570434442,1.5736787791857547,10.0,10,32768,0.9335123697916666,0.0006021585525288388,-0.47200520833333703,-0.634765625,-0.31331380208333337,-0.47200520833333337,0.10986328125,0.9941813151041666,0.2210337400974068,0.0006458246107328152,0.009486998144296356,0.00039613496501053277,0.09655332597555806,0.9882405598958334,0.22550198605872507,0.016955312458810653,0.007670930293245247,0.046932243536610324,0.06564603743274883,0.10147626134919967,0.2805045284435049,0.32602179749271026,0.9377848307291666,-0.044759114583337034,0.21979233761935404,0.008323675628728456,0.991943359375,0.041771093514892714,0.2816407799229566,True,,False,False,True
1.25,1.2500061551334198,0.7261562570434442,1.5736787791857547,100.0,10,32768,0.9348551432291666,0.0006021585525288388,-0.33772786458333703,-0.4760742187500001,-0.19938151041666669,-0.33772786458333337,0.10986328125,0.994384765625,0.216488034300768,0.0004941016047044839,0.008092508885245453,0.001052437600439925,0.094515710021992,0.9906005859375,0.23191366741605832,0.017926886690621664,0.008743871086334244,0.0482287718722763,0.06616464788848561,0.10139633661914144,0.30894609825990377,0.3386077634765346,0.9377848307291666,-0.044759114583337034,0.21979233761935404,0.008323675628728456,0.991943359375,0.041771093514892714,0.2816407799229566,True,,False,True,True
