source_file,method,seed,perturbation_scale,ensemble_name,accuracy,id_nll,id_ece,id_brier,near_ood_auroc,near_ood_fpr95,far_ood_auroc,far_ood_fpr95,posthoc_temperature,posthoc_calibrate,primary_score,temperature_fit_split,ood_validation_used,ood_tuning_used
openood_v1p5_mahalanobis_vcal_e300_optsgd_lr1e-01_wd5e-04_bs128_wu5_mom0p9_n1_augfcco8_ls0_seed1.json,mahalanobis_vcal,1,,Mahalanobis,0.9589999914169312,0.14436227083206177,0.009716051705181599,0.06364138424396515,0.8787546325,0.6738500000000001,0.9349712901891942,0.431125,1.3596150171620922,True,mahalanobis,id_validation_only,False,False
openood_v1p5_mahalanobis_vcal_e300_optsgd_lr1e-01_wd5e-04_bs128_wu5_mom0p9_n1_augfcco8_ls0_seed2.json,mahalanobis_vcal,2,,Mahalanobis,0.9554999470710754,0.1489451676607132,0.01164153265208006,0.06758402287960052,0.8793409925000001,0.6628499999999999,0.9335485164196275,0.410775,1.3291976050039631,True,mahalanobis,id_validation_only,False,False
openood_v1p5_mc_dropout_vcal_n32_dr0.1_e300_optsgd_lr1e-01_wd5e-04_bs128_wu5_mom0p9_n1_augfcco8_ls0_seed0.json,mc_dropout_vcal_n32_dr0.1,0,,MC Dropout,0.9576999545097351,0.1424688696861267,0.00841053120791912,0.06446460634469986,0.8720500375,0.72,0.9161358219090634,0.40900000000000003,1.3342845724765302,True,predictive_entropy,id_validation_only,False,False
openood_v1p5_mc_dropout_vcal_n32_dr0.1_e300_optsgd_lr1e-01_wd5e-04_bs128_wu5_mom0p9_n1_augfcco8_ls0_seed1.json,mc_dropout_vcal_n32_dr0.1,1,,MC Dropout,0.958899974822998,0.14608056843280792,0.0071375004291534426,0.06413054466247559,0.8709963025,0.70705,0.9132170297808698,0.43504999999999994,1.3358820841976198,True,predictive_entropy,id_validation_only,False,False
openood_v1p5_mc_dropout_vcal_n32_dr0.1_e300_optsgd_lr1e-01_wd5e-04_bs128_wu5_mom0p9_n1_augfcco8_ls0_seed2.json,mc_dropout_vcal_n32_dr0.1,2,,MC Dropout,0.9560999870300293,0.15403060615062714,0.014068403863906861,0.06977304816246033,0.8744182174999999,0.7041,0.9107349618540846,0.431775,1.308487040681154,True,predictive_entropy,id_validation_only,False,False
openood_v1p5_msp_vcal_e300_optsgd_lr1e-01_wd5e-04_bs128_wu5_mom0p9_n1_augfcco8_ls0_seed0.json,msp_vcal,0,,MSP,0.9576999545097351,0.1383627951145172,0.009204874056577682,0.06244732439517975,0.8771061025,0.65235,0.9280735107628145,0.307,1.3121689358246218,True,max_softmax_uncertainty,id_validation_only,False,False
openood_v1p5_msp_vcal_e300_optsgd_lr1e-01_wd5e-04_bs128_wu5_mom0p9_n1_augfcco8_ls0_seed1.json,msp_vcal,1,,MSP,0.9589999914169312,0.1443616896867752,0.009712299591302872,0.06364220380783081,0.8759049125,0.6738500000000001,0.908286522150452,0.431125,1.3594670923344505,True,max_softmax_uncertainty,id_validation_only,False,False
openood_v1p5_msp_vcal_e300_optsgd_lr1e-01_wd5e-04_bs128_wu5_mom0p9_n1_augfcco8_ls0_seed2.json,msp_vcal,2,,MSP,0.9554999470710754,0.14894674718379974,0.01165266767591238,0.06758555769920349,0.87679344,0.6628499999999999,0.9095884543846471,0.410775,1.3290014550391993,True,max_softmax_uncertainty,id_validation_only,False,False
openood_v1p5_pnc_multi_block_vcal_k20_n50_ps6.0_lr0.001_e300_optsgd_lr1e-01_wd5e-04_bs128_wu5_mom0p9_n1_augfcco8_ls0_subsetsize1024_chunksize64_seed0_random.json,pnc_multi_block_vcal_k20_n50_ps6.0_lr0.001,0,6.0,Multi-block PnC scale=6.0,0.9539999961853027,0.14405395090579987,0.007966320264339447,0.06880931556224823,0.89907011,0.42325,0.9416497866677837,0.2369,1.1922456691123473,True,predictive_entropy,id_validation_only,False,False
openood_v1p5_pnc_multi_block_vcal_k20_n50_ps7.0_lr0.001_e300_optsgd_lr1e-01_wd5e-04_bs128_wu5_mom0p9_n1_augfcco8_ls0_subsetsize1024_chunksize64_seed0_random.json,pnc_multi_block_vcal_k20_n50_ps7.0_lr0.001,0,7.0,Multi-block PnC scale=7.0,0.9519999623298645,0.14879556000232697,0.009354727955162526,0.07175803929567337,0.90054513,0.38880000000000003,0.9417636466294349,0.2248,1.1681707459433486,True,predictive_entropy,id_validation_only,False,False
openood_v1p5_pnc_multi_block_vcal_k20_n50_ps7.0_lr0.001_e300_optsgd_lr1e-01_wd5e-04_bs128_wu5_mom0p9_n1_augfcco8_ls0_subsetsize1024_chunksize64_seed1_random.json,pnc_multi_block_vcal_k20_n50_ps7.0_lr0.001,1,7.0,Multi-block PnC scale=7.0,0.9519000053405762,0.15078182518482208,0.006019682502746582,0.07123322784900665,0.899579875,0.37805,0.9217993616070239,0.2508,1.1787596038681,True,predictive_entropy,id_validation_only,False,False
openood_v1p5_pnc_multi_block_vcal_k20_n50_ps7.0_lr0.001_e300_optsgd_lr1e-01_wd5e-04_bs128_wu5_mom0p9_n1_augfcco8_ls0_subsetsize1024_chunksize64_seed2_random.json,pnc_multi_block_vcal_k20_n50_ps7.0_lr0.001,2,7.0,Multi-block PnC scale=7.0,0.9488999843597412,0.15692314505577087,0.007700903943181038,0.07522178441286087,0.8987380300000001,0.39775,0.9223814805585542,0.256725,1.2113306557561314,True,predictive_entropy,id_validation_only,False,False
openood_v1p5_pnc_single_block_vcal_s3b1_k20_n25_ps10.0-15.0-20.0-25.0_lr0.001_e300_optsgd_lr1e-01_wd5e-04_bs128_wu5_mom0p9_n1_augfcco8_ls0_subsetsize1024_chunksize64_seed0_random.json,pnc_single_block_vcal_s3b1_k20_n25_ps10.0-15.0-20.0-25.0_lr0.001,0,10.0,PnC scale=10.0,0.9584999680519104,0.13661891222000122,0.007973920401930809,0.06219058856368065,0.893410055,0.52035,0.940277025802591,0.255125,1.2601133806092524,True,predictive_entropy,id_validation_only,False,False
openood_v1p5_pnc_single_block_vcal_s3b1_k20_n25_ps10.0-15.0-20.0-25.0_lr0.001_e300_optsgd_lr1e-01_wd5e-04_bs128_wu5_mom0p9_n1_augfcco8_ls0_subsetsize1024_chunksize64_seed0_random.json,pnc_single_block_vcal_s3b1_k20_n25_ps10.0-15.0-20.0-25.0_lr0.001,0,15.0,PnC scale=15.0,0.9584999680519104,0.13592499494552612,0.007317529141902924,0.0623263455927372,0.90190594,0.43615000000000004,0.9449292363691988,0.219875,1.2140735718010724,True,predictive_entropy,id_validation_only,False,False
openood_v1p5_pnc_single_block_vcal_s3b1_k20_n25_ps10.0-15.0-20.0-25.0_lr0.001_e300_optsgd_lr1e-01_wd5e-04_bs128_wu5_mom0p9_n1_augfcco8_ls0_subsetsize1024_chunksize64_seed0_random.json,pnc_single_block_vcal_s3b1_k20_n25_ps10.0-15.0-20.0-25.0_lr0.001,0,20.0,PnC scale=20.0,0.9580999612808228,0.1357390284538269,0.007653066277503967,0.06264514476060867,0.908010145,0.37665000000000004,0.9480988628449437,0.200525,1.166399582035664,True,predictive_entropy,id_validation_only,False,False
openood_v1p5_pnc_single_block_vcal_s3b1_k20_n25_ps10.0-15.0-20.0-25.0_lr0.001_e300_optsgd_lr1e-01_wd5e-04_bs128_wu5_mom0p9_n1_augfcco8_ls0_subsetsize1024_chunksize64_seed0_random.json,pnc_single_block_vcal_s3b1_k20_n25_ps10.0-15.0-20.0-25.0_lr0.001,0,25.0,PnC scale=25.0,0.9577999711036682,0.13600581884384155,0.007149747985601425,0.06308317929506302,0.9118443250000001,0.34285,0.9500381041609889,0.19087500000000002,1.121809910053896,True,predictive_entropy,id_validation_only,False,False
openood_v1p5_pnc_single_block_vcal_s3b1_k20_n25_ps30.0-40.0-50.0-75.0_lr0.001_e300_optsgd_lr1e-01_wd5e-04_bs128_wu5_mom0p9_n1_augfcco8_ls0_subsetsize1024_chunksize64_seed0_random.json,pnc_single_block_vcal_s3b1_k20_n25_ps30.0-40.0-50.0-75.0_lr0.001,0,30.0,PnC scale=30.0,0.9574999809265137,0.1365504413843155,0.007065322715044022,0.06357062608003616,0.9141149525,0.3281,0.9511292505896562,0.18645,1.0842268795225734,True,predictive_entropy,id_validation_only,False,False
openood_v1p5_pnc_single_block_vcal_s3b1_k20_n25_ps30.0-40.0-50.0-75.0_lr0.001_e300_optsgd_lr1e-01_wd5e-04_bs128_wu5_mom0p9_n1_augfcco8_ls0_subsetsize1024_chunksize64_seed0_random.json,pnc_single_block_vcal_s3b1_k20_n25_ps30.0-40.0-50.0-75.0_lr0.001,0,40.0,PnC scale=40.0,0.9567999839782715,0.13775379955768585,0.007346018198132515,0.06444824486970901,0.9162350175,0.31365,0.9519534965299827,0.1806,1.0304645740571334,True,predictive_entropy,id_validation_only,False,False
openood_v1p5_pnc_single_block_vcal_s3b1_k20_n25_ps30.0-40.0-50.0-75.0_lr0.001_e300_optsgd_lr1e-01_wd5e-04_bs128_wu5_mom0p9_n1_augfcco8_ls0_subsetsize1024_chunksize64_seed0_random.json,pnc_single_block_vcal_s3b1_k20_n25_ps30.0-40.0-50.0-75.0_lr0.001,0,50.0,PnC scale=50.0,0.9559999704360962,0.13872279226779938,0.00739005861133337,0.06508694589138031,0.917023285,0.30574999999999997,0.9521235767129654,0.179475,0.9979786807951238,True,predictive_entropy,id_validation_only,False,False
