env,method,n_seeds,rmse_id,nll_id,nll_ood_near,nll_ood_mid,nll_ood_far,auroc_ood_near,auroc_ood_mid,auroc_ood_far
HalfCheetah-v5,"PJSVD-Multi-LS + VCal + Prob (Low-Proj) (k=20, n=50) [relu] (size=10.0)",5,1.6052+/-0.0844,0.3893+/-0.5288,8.8289+/-3.8791,2.6835+/-0.2930,3.2928+/-1.5622,0.6460+/-0.0385,0.7826+/-0.0777,0.9667+/-0.0123
HalfCheetah-v5,"PJSVD-Multi-LS + VCal + Prob (Random-Proj) (k=20, n=50) [relu] (size=5.0)",5,1.6091+/-0.0819,0.2322+/-0.3079,6.7193+/-4.4793,2.5557+/-0.3294,2.5545+/-0.8484,0.6784+/-0.0272,0.8401+/-0.0574,0.9775+/-0.0078
HalfCheetah-v5,"PJSVD-Multi-LS + VCal + Prob + Boot(f=0.1) (Random-Proj) (k=20, n=50, λ=0.1) [relu] (size=5.0)",1,1.5565+/-0.0000,0.1323+/-0.0000,3.3430+/-0.0000,2.1820+/-0.0000,1.6125+/-0.0000,0.7395+/-0.0000,0.9306+/-0.0000,0.9871+/-0.0000
HalfCheetah-v5,"Hybrid PnC+DE + Prob (Random-Proj) (M=2, K=25) [relu] (5.0)",5,1.2184+/-0.0820,-0.0005+/-0.8982,9.2007+/-2.6425,1.8785+/-0.2543,3.2734+/-1.7836,0.8217+/-0.0192,0.9728+/-0.0152,0.9847+/-0.0071
HalfCheetah-v5,"Hybrid PnC+DE + VCal + Prob (Random-Proj) (M=10, K=5) [relu] (5.0)",5,1.2102+/-0.0664,0.0436+/-1.1822,15.1033+/-3.4766,2.3944+/-0.3575,4.7557+/-3.0067,0.8287+/-0.0242,0.9776+/-0.0105,0.9862+/-0.0072
Hopper-v5,"MC Dropout (n=100, dr=0.05) [relu]",3,0.2187+/-0.0378,-1.0033+/-0.1810,1.1261+/-0.0746,2.3948+/-0.1765,2.0777+/-0.4205,0.6623+/-0.0242,0.6821+/-0.0200,0.6421+/-0.0206
Hopper-v5,"MC Dropout + VCal (n=100, dr=0.05) [relu]",5,0.2143+/-0.0306,-1.1800+/-0.3774,6.3677+/-1.2579,10.2322+/-1.6085,8.9796+/-2.3225,0.6566+/-0.0221,0.6655+/-0.0243,0.6310+/-0.0323
Hopper-v5,Deep Ensemble (n=10) [gelu],1,0.1768+/-0.0000,-1.9586+/-0.0000,0.8090+/-0.0000,1.6337+/-0.0000,0.8447+/-0.0000,0.7972+/-0.0000,0.8643+/-0.0000,0.9238+/-0.0000
Hopper-v5,Deep Ensemble + VCal (n=50) [relu],3,0.1508+/-0.0143,-2.1066+/-0.3110,4.5552+/-0.3284,6.0797+/-0.3272,5.4002+/-1.0972,0.8133+/-0.0078,0.8797+/-0.0038,0.9207+/-0.0052
Hopper-v5,Subspace (n=100) (T=0.0) [gelu],1,0.2171+/-0.0000,-0.7715+/-0.0000,2.1735+/-0.0000,5.6320+/-0.0000,1.4082+/-0.0000,0.6330+/-0.0000,0.6529+/-0.0000,0.8586+/-0.0000
