seed,label,stage_idx,block_idx,scale,bootstrap_frac,chunk_size,temperature,val_nll_calibrated,val_nll_uncalibrated,val_accuracy,val_ece,val_brier,base_agreement,build_secs,repro_ok
1,,1,1,100.0,0.05,16,1.3341371746913602,0.16097567975521088,0.1755191832780838,94.76,0.011918200993537877,0.07702723145484924,0.9834,26.5,True
1,,1,1,100.0,0.1,16,1.3418146482475017,0.16160684823989868,0.1771719753742218,94.84,0.01110002837181088,0.07706175744533539,0.9838,27.1,True
1,,1,1,100.0,0.2,16,1.3449867359123755,0.16199415922164917,0.17798705399036407,94.8,0.011449839758872956,0.07716003060340881,0.9834,27.3,True
1,,1,1,25.0,0.05,16,1.3311233701719183,0.15891066193580627,0.17307043075561523,94.89999999999999,0.011254518741369225,0.0760127454996109,0.9848,26.0,True
1,,1,1,25.0,0.1,16,1.3392404061761656,0.15963628888130188,0.1748531311750412,94.84,0.012334944528341298,0.0760672390460968,0.9844,27.2,True
1,,1,1,25.0,0.2,16,1.3414688733317368,0.15986530482769012,0.17539267241954803,94.89999999999999,0.011073500323295548,0.07609458267688751,0.9848,27.2,True
1,,1,1,50.0,0.05,16,1.333632503475178,0.16069777309894562,0.17516599595546722,94.76,0.011977701187133765,0.076900415122509,0.9834,26.7,True
1,,1,1,50.0,0.1,16,1.3415441379962558,0.16136550903320312,0.17687459290027618,94.82000000000001,0.011338555002212512,0.0769367665052414,0.984,27.4,True
1,,1,1,50.0,0.2,16,1.3443810402955745,0.16170813143253326,0.17760373651981354,94.84,0.011101534968614553,0.07701747119426727,0.9842,26.9,True
1,,2,0,100.0,0.05,16,0.8807444890830205,0.2503229081630707,0.2511289417743683,91.72,0.017217778408527375,0.12260752171278,0.937,25.9,True
1,,2,0,100.0,0.1,16,1.1037911768061843,0.16507183015346527,0.16581293940544128,94.5,0.004955576103925711,0.08143026381731033,0.9722,27.1,True
1,,2,0,100.0,0.2,16,1.1885783078668426,0.16478976607322693,0.1678144782781601,94.58,0.010302892482280723,0.0801745131611824,0.9734,26.5,True
1,,2,0,25.0,0.05,16,0.9573777120848885,0.18837951123714447,0.1884727030992508,93.54,0.01130469589531421,0.09349764138460159,0.9598,25.1,True
1,,2,0,25.0,0.1,16,1.139785574600719,0.15036389231681824,0.1517804116010666,94.92,0.006571605777740478,0.07459699362516403,0.9784,26.2,True
1,,2,0,25.0,0.2,16,1.1969791256758917,0.15096555650234222,0.1542687565088272,95.08,0.00836939880251885,0.07372723519802094,0.9794,25.8,True
1,,2,0,50.0,0.05,16,0.8732604310523606,0.23457933962345123,0.23544548451900482,92.17999999999999,0.017250824511051217,0.11577746272087097,0.9426,25.7,True
1,,2,0,50.0,0.1,16,1.1108527580420031,0.16226427257061005,0.16311828792095184,94.48,0.00617124809026715,0.08024021983146667,0.9738,26.4,True
1,,2,0,50.0,0.2,16,1.1859662924425916,0.1614900827407837,0.16440236568450928,94.6,0.009824264138936958,0.0787622407078743,0.9746,26.3,True
1,,2,1,100.0,0.05,16,1.0963868599124862,0.1690712720155716,0.16975346207618713,94.17999999999999,0.006873716682195687,0.08334411680698395,0.967,25.3,True
1,,2,1,100.0,0.1,16,1.2949703723534076,0.17320014536380768,0.18243277072906494,94.46,0.009880522587895416,0.08240679651498795,0.9676,27.0,True
1,,2,1,100.0,0.2,16,1.3493741444799385,0.17652930319309235,0.19121721386909485,94.38,0.010896116411685974,0.08266938477754593,0.9674,26.5,True
1,,2,1,25.0,0.05,16,1.1258564605617891,0.15600693225860596,0.1571986824274063,94.67999999999999,0.0065784719109534765,0.07697726786136627,0.973,25.9,True
1,,2,1,25.0,0.1,16,1.2947626089625301,0.1614135205745697,0.17066988348960876,94.92,0.010165402948856397,0.07687144726514816,0.9734,27.0,True
1,,2,1,25.0,0.2,16,1.335382365966719,0.16433019936084747,0.17741955816745758,94.89999999999999,0.011747916173934902,0.07734928280115128,0.9738,26.7,True
1,,2,1,50.0,0.05,16,1.1030127378173098,0.16675885021686554,0.16753779351711273,94.22,0.0068911890774965325,0.08206772059202194,0.9672,25.5,True
1,,2,1,50.0,0.1,16,1.2954977681546578,0.17101366817951202,0.18031184375286102,94.56,0.009806408810615501,0.08126988261938095,0.9684,26.9,True
1,,2,1,50.0,0.2,16,1.3472930891903014,0.1744401603937149,0.1888609677553177,94.46,0.01046419643163684,0.08176436275243759,0.9686,26.9,True
1,,3,0,100.0,0.05,64,99.99993582370774,4.823396682739258,20.18315315246582,9.92,0.8264781906604767,1.6615840196609497,0.1056,10.0,True
1,,3,0,100.0,0.1,64,99.99993582370774,6.87624454498291,21.014694213867188,9.92,0.8500958151698114,1.7057790756225586,0.1056,9.9,True
1,,3,0,100.0,0.2,64,99.99993582370774,6.513545513153076,19.50240707397461,9.92,0.8222143218874931,1.654847264289856,0.1056,10.3,True
1,,3,0,25.0,0.05,64,0.7501530697647686,0.13429538905620575,0.1414279341697693,95.3,0.006412322309613261,0.06709116697311401,0.9848,9.7,True
1,,3,0,25.0,0.1,64,0.6944466279669124,0.1386232227087021,0.1497102826833725,95.19999999999999,0.0077066468298434936,0.06799625605344772,0.9862,10.0,True
1,,3,0,25.0,0.2,64,0.5882242653784622,0.1460733562707901,0.16886308789253235,95.36,0.005596962791681294,0.0690992921590805,0.9806,10.5,True
1,,3,0,50.0,0.05,64,0.7179468200246737,1.761914849281311,1.7745007276535034,26.76,0.35891474103927606,0.9246084690093994,0.2744,9.6,True
1,,3,0,50.0,0.1,64,2.6179609913296327,2.149916887283325,2.293977737426758,16.06,0.20027481635510924,0.9006296992301941,0.167,9.8,True
1,,3,0,50.0,0.2,64,18.662001928603956,2.2975845336914062,3.349835157394409,10.0,0.03729726342260837,0.8995408415794373,0.1064,10.5,True
1,,3,1,100.0,0.05,64,99.99993582370774,2.8790602684020996,10.758034706115723,12.1,0.19739729799628256,1.0089505910873413,0.126,11.1,True
1,,3,1,100.0,0.1,64,99.99993582370774,3.0757715702056885,13.153790473937988,9.379999999999999,0.24712254289388658,1.0392005443572998,0.0948,11.5,True
1,,3,1,100.0,0.2,64,99.99984003443716,2.7901525497436523,12.95700740814209,10.72,0.20821699776649474,1.003420114517212,0.113,12.1,True
1,,3,1,25.0,0.05,64,1.052568981782361,0.14101926982402802,0.14136220514774323,95.3,0.008732779461145389,0.06800971925258636,0.9904,11.2,True
1,,3,1,25.0,0.1,64,0.7943290282404264,0.2757842242717743,0.2806134819984436,95.24000000000001,0.10964922370314596,0.09237883985042572,0.9854,11.6,True
1,,3,1,25.0,0.2,64,0.8126660234161115,0.2801005244255066,0.2842424809932709,95.24000000000001,0.11300183166265487,0.09463483840227127,0.9852,11.8,True
1,,3,1,50.0,0.05,64,0.6254555169360801,0.15216323733329773,0.1686324179172516,95.32000000000001,0.008426959356665596,0.0706888809800148,0.9842,11.6,True
1,,3,1,50.0,0.1,64,0.5229417327074296,0.3315522372722626,0.3632000982761383,94.44,0.1383762105405331,0.12043986469507217,0.9672,11.6,True
1,,3,1,50.0,0.2,64,0.45024435310743305,1.1060669422149658,1.1450045108795166,48.02,0.10527411767840386,0.5704200267791748,0.4902,11.9,True
2,,1,0,100.0,0.05,16,1.2272777322914439,0.16417798399925232,0.16929583251476288,94.48,0.010623589861392928,0.07826892286539078,0.9714,26.2,True
2,,1,0,100.0,0.1,16,1.2439916536320508,0.1647593379020691,0.17091430723667145,94.56,0.011142720079422002,0.0782753974199295,0.9716,27.0,True
2,,1,0,100.0,0.2,16,1.2492668107642537,0.1649235039949417,0.17144638299942017,94.54,0.011912682825326941,0.07829488813877106,0.9712,26.6,True
2,,1,0,25.0,0.05,16,1.2406839495620559,0.15337726473808289,0.1592366248369217,94.92,0.008959360671043349,0.07320410758256912,0.9788,26.2,True
2,,1,0,25.0,0.1,16,1.2511301085336737,0.15365095436573029,0.16018599271774292,94.84,0.00982673794627186,0.07309495657682419,0.9792,26.7,True
2,,1,0,25.0,0.2,16,1.2548445727320718,0.1535438746213913,0.16034799814224243,94.89999999999999,0.009532642781734437,0.07302885502576828,0.9794,27.9,True
2,,1,0,50.0,0.05,16,1.2295396228225537,0.16120123863220215,0.16642656922340393,94.74000000000001,0.00925290405154228,0.07698026299476624,0.9746,26.8,True
2,,1,0,50.0,0.1,16,1.2448540705139353,0.161745086312294,0.1679399311542511,94.76,0.009460830378532374,0.07690948247909546,0.9744,26.0,True
2,,1,0,50.0,0.2,16,1.2497550642299107,0.1617066115140915,0.16822192072868347,94.74000000000001,0.009799870669841736,0.07687471061944962,0.974,27.1,True
2,,1,1,100.0,0.05,16,1.3393514123423864,0.16032297909259796,0.1754712462425232,95.08,0.011779458916187256,0.07481159269809723,0.9814,25.9,True
2,,1,1,100.0,0.1,16,1.3462132213768787,0.16094765067100525,0.17697986960411072,95.14,0.01188135044574733,0.07492586225271225,0.982,27.6,True
2,,1,1,100.0,0.2,16,1.3490733798409607,0.1610904335975647,0.17752406001091003,95.12,0.011904028558731124,0.07495643198490143,0.982,27.9,True
2,,1,1,25.0,0.05,16,1.3353320722743314,0.15825600922107697,0.17289511859416962,95.22,0.01046998376250272,0.07386783510446548,0.9836,26.3,True
2,,1,1,25.0,0.1,16,1.3409156594231966,0.1587221622467041,0.17407773435115814,95.28,0.011551298263668968,0.0739433690905571,0.9836,26.4,True
2,,1,1,25.0,0.2,16,1.3441716663949037,0.15891586244106293,0.17466884851455688,95.24000000000001,0.011912315064668649,0.07398498803377151,0.9832,27.6,True
2,,1,1,50.0,0.05,16,1.3390341571476851,0.16010069847106934,0.1751694530248642,95.08,0.012202383655309667,0.07470430433750153,0.9814,25.9,True
