env,seed,ridge_center,selected_size,val_nll,rmse_id,nll_id,nll_ood_near,nll_ood_mid,nll_ood_far,auroc_ood_far,auroc_ood_near,auroc_ood_mid,spearman_ood_far
HalfCheetah-v5,100,zero,5.0,-0.005361965391784906,1.539987564086914,-0.010736905969679356,1.3358638286590576,1.9313580989837646,2.0014753341674805,0.990953595,0.7451040949999999,0.95981033,
HalfCheetah-v5,100,original,5.0,-0.005363475065678358,1.539597511291504,-0.010759234428405762,1.333179235458374,1.9304728507995605,2.0007970333099365,0.99096532,0.7451625,0.9598394149999999,
HalfCheetah-v5,200,zero,5.0,0.22871385514736176,1.608733057975769,0.21261857450008392,2.0381827354431152,2.1254563331604004,2.053584575653076,0.9935898850000001,0.7699598249999999,0.9412042,
HalfCheetah-v5,200,original,5.0,0.22869929671287537,1.608465552330017,0.2126350849866867,2.0394675731658936,2.1255481243133545,2.0545125007629395,0.99360019,0.77001399,0.94125972,
Hopper-v5,0,zero,5.0,-1.3999429941177368,0.19609351456165314,-1.4459460973739624,0.08795887231826782,0.5892585515975952,0.4499813914299011,0.9225045849999999,0.7887775700000001,0.84767546,
Hopper-v5,0,original,5.0,-1.3550796508789062,0.19952453672885895,-1.3917433023452759,0.13912874460220337,0.5868974924087524,0.4162678122520447,0.93641781,0.809581775,0.869080825,
Hopper-v5,10,zero,5.0,-1.150182843208313,0.20945565402507782,-1.1513748168945312,-0.013571142219007015,0.4668762683868408,0.3423897922039032,0.9323985250000001,0.7805912199999999,0.85269526,
Hopper-v5,10,original,5.0,-1.1503993272781372,0.2093578726053238,-1.1515933275222778,-0.014043332077562809,0.466485857963562,0.3372823894023895,0.9318764900000001,0.78066296,0.852801055,
Hopper-v5,42,zero,5.0,-1.2749890089035034,0.2109430879354477,-1.2111053466796875,0.19302180409431458,0.7075764536857605,0.4192951023578644,0.9597428250000001,0.8130663399999999,0.8604439949999998,
Hopper-v5,42,original,5.0,-1.259179949760437,0.21611380577087402,-1.1982991695404053,-0.06611192226409912,0.36419588327407837,0.4717637598514557,0.9246441400000001,0.78138762,0.8297333350000001,
Hopper-v5,100,zero,5.0,-1.3859950304031372,0.19610939919948578,-1.3394908905029297,0.09836290776729584,0.424593061208725,0.29938429594039917,0.934092135,0.8023236600000001,0.8660083000000001,
Hopper-v5,100,original,5.0,-1.3625448942184448,0.20095621049404144,-1.3186235427856445,0.023086469620466232,0.3599906265735626,0.2986818253993988,0.9421705999999999,0.79461608,0.8514013100000001,
Hopper-v5,200,zero,5.0,-1.528812050819397,0.2128070890903473,-1.3189785480499268,0.3866257667541504,0.9008219242095947,0.353787362575531,0.9615735250000002,0.810287775,0.8725191999999999,
Hopper-v5,200,original,5.0,-1.5271189212799072,0.2224409580230713,-1.293351411819458,0.42999839782714844,0.8641664385795593,0.35017111897468567,0.9516499599999999,0.81088684,0.8734333150000001,
Humanoid-v5,0,zero,50.0,3.835116386413574,45.38999938964844,3.828561782836914,3.781229019165039,3.753516435623169,3.543426752090454,0.39897525,0.5373051249999999,0.633844205,
Humanoid-v5,0,original,50.0,4.60317850112915,53.314231872558594,4.6081061363220215,4.444250106811523,3.981757879257202,3.7558271884918213,0.34516695,0.53368381,0.6638317400000001,
Humanoid-v5,10,zero,50.0,3.6143760681152344,42.3538703918457,3.695868730545044,3.605571985244751,3.7652931213378906,3.5853679180145264,0.32521055,0.5632214,0.64588997,
Humanoid-v5,10,original,50.0,3.615769147872925,42.35595703125,3.6985604763031006,3.60957670211792,3.7863235473632812,3.5947511196136475,0.33893713000000003,0.5646542350000001,0.650028575,
Humanoid-v5,42,zero,50.0,7.9854817390441895,139.73025512695312,7.952646255493164,6.6954345703125,5.811381816864014,5.042980670928955,0.46890139999999997,0.617895825,0.71914179,
Humanoid-v5,42,original,50.0,7.985190391540527,139.73146057128906,7.952652931213379,6.693739414215088,5.811765193939209,5.033639430999756,0.43378714500000004,0.6185179550000001,0.719164645,
Humanoid-v5,100,zero,50.0,3.7023696899414062,47.56647491455078,3.695577621459961,3.7581167221069336,3.697202205657959,3.674009323120117,0.434458055,0.593430615,0.68835403,
Humanoid-v5,100,original,50.0,8.312870025634766,65.85462951660156,8.197113990783691,7.362466812133789,6.21270227432251,5.35097074508667,0.47269497,0.607713605,0.67725495,
Humanoid-v5,200,zero,10.0,3.5984504222869873,44.61955261230469,3.611455202102661,3.6451916694641113,3.6605591773986816,3.9748270511627197,0.22194458,0.5235963800000001,0.4054979649999999,
Humanoid-v5,200,original,50.0,4.350476264953613,50.005863189697266,4.350985050201416,4.159914970397949,4.0139594078063965,3.734037399291992,0.40767929999999997,0.5882920250000001,0.6806876149999999,
