dataset,regime,maha,log_maha,leverage,jproj,rfrob,MI,logit_cov_tr,pred_ent
id_test,id,9.413286728896313,0.9737412875539808,0.35844470023351765,0.8868209180672513,0.6536457557386295,4.8556401230663224e-05,0.2748303921936493,0.009077976015866076
id_test,id,11.922793526288258,1.0763780231346223,0.39381711161949834,1.2907683973897737,0.755420984288646,5.8650312308755614e-05,0.5701236558060877,0.0066486204021991725
id_test,id,10.989021887888027,1.0409590384505298,0.407381006198681,0.6036364156455661,0.77498448684223,4.061406208346295e-05,0.26616683898681853,0.008624306791317184
id_test,id,9.801269365701064,0.9912823250041329,0.37346636309613035,1.5394187155729249,0.7302001892031751,0.007024158700424471,1.0494124583411855,0.10707060069759729
id_test,id,11.063022157421582,1.0438737822522746,0.4174997492588475,2.795849548158013,0.8003346269872146,0.04712873748244317,2.9772622249979155,0.30110279022406505
id_test,id,10.607835530777383,1.025626777633544,0.3958657541384908,1.0012044165746805,0.7691371617856361,0.0003952920582127664,0.715197043647448,0.017883854212993877
id_test,id,10.32574098579696,1.0139212269076356,0.4188988194343082,0.9058604472201777,0.7886299429675322,0.0023208113547197387,0.6749548009722138,0.04041096117560345
id_test,id,10.15979549947604,1.0068849664214605,0.33595686244460343,0.7976081935487142,0.6904506543957388,1.2244892477020035e-05,0.14504345547620393,0.005038496559509852
id_test,id,10.223593702115847,1.0096035818157956,0.5314491502960215,0.6808850689188078,0.8445357303267892,0.0001840628751301962,0.38213401200089997,0.015704412094581
id_test,id,10.702913289927817,1.0295020070276124,0.33357780260207665,1.1569807534386989,0.6759398245966464,5.0296228882629884e-05,0.513413541309221,0.004751778957033116
id_test,id,14.457335404224303,1.1600882566208168,0.5980634093212979,0.9290950737606828,0.9325971277674027,0.0006555213427709705,0.7419310653997111,0.033371740206490016
id_test,id,12.03379447932979,1.0804025901022156,0.41508090643980566,1.6213320915058844,0.7067992705578262,0.11480332167698859,1.43116248096553,0.735413115337652
id_test,id,8.801637651972536,0.9445634855000761,0.2834489829713963,1.5846637334015927,0.6332339058346497,0.00028654942103741206,1.2324255048116959,0.011649743970673209
id_test,id,17.017649552757295,1.2308995759410193,0.32580895881705374,3.1493965902851,0.7127603654656298,0.19535402526788237,3.747728631761171,0.8464082448336063
id_test,id,11.434344490585705,1.0582112724104376,0.49299923157976844,1.135089880827039,0.838100063216565,0.0004067713611217022,0.9581788497549101,0.021758854282474677
id_test,id,10.757607240542201,1.0317156842157003,0.4288167162557164,0.5514736214654756,0.7834526788251012,0.00014731208131146117,0.35935863628015124,0.01540516638294243
id_test,id,9.663435999979988,0.9851315747528464,0.3490120107952816,0.9132668429465078,0.7417408568248091,0.00015984996884411094,0.4183036616354199,0.012915541406283409
id_test,id,11.688542823606761,1.0677603723527607,0.39316299754628703,1.2814291589901803,0.7349746420187678,4.7352341098596054e-05,0.6037376398674759,0.004614140272010237
id_test,id,9.96239489873935,0.9983637527525738,0.4032026945159222,0.5867016632394333,0.7618159952594333,4.429030418896286e-05,0.32534241646062617,0.009284725722681216
id_test,id,12.299221167183987,1.0898776111898716,0.35430124628525045,1.686388319133997,0.7543355877185524,0.0002531257341936953,1.3505476183939158,0.009274238788842468
id_test,id,9.621670796586395,0.9832504935728351,0.30827619209079826,1.2903632673697278,0.6768580356650511,0.00026017758135949386,0.7461754675707779,0.01209779139422407
id_test,id,9.760769388232422,0.9894840521265726,0.4002351985017145,0.7092910532177382,0.7357676155793389,6.907533844664401e-05,0.27409908372428565,0.013080173486875405
id_test,id,10.078669555349055,1.0034032064675227,0.38474843077916876,1.0239370149861695,0.7147401429973231,0.0004072471246590881,1.2902583843063062,0.01833535747149285
id_test,id,10.418363648959087,1.0177995122840726,0.3943932856836553,2.083138606773548,0.7946271384172325,0.0011048012518108576,2.9555152121818353,0.013131624826988163
id_test,id,11.300317048781688,1.0530906285311235,0.44456751766630687,0.8440596671269607,0.7670626636169924,0.0005229405828103169,0.8034936788947183,0.015635018878964124
id_test,id,9.204306333374978,0.9639910642680923,0.31458702167987157,1.2604969496152703,0.6283021350937223,0.00012081407387737331,0.6655054007951217,0.008415389563079531
id_test,id,9.471427092054949,0.9764154206024787,0.4589956641391834,0.7878920447934803,0.8184978667768343,0.00016405970252931362,0.37892990578002306,0.015250541797726811
id_test,id,8.732928681375757,0.9411599134990044,0.34818590019863216,0.6960807594347128,0.7037514615245896,4.471123419507849e-05,0.33934393459605716,0.006617756120638336
id_test,id,10.177069143718867,1.0076227251971561,0.34293272680817555,1.0491247445027765,0.7381366603357901,0.0016006155452353184,0.8118159566542229,0.03022865729809278
id_test,id,10.45557071880727,1.019347743868002,0.4211066616575207,2.4348493856152222,0.7594932107826404,0.11820107647118017,3.7300604583558705,0.6499314781336506
id_test,id,10.997324700037781,1.0412870479865914,0.403497871084193,0.6665606751311697,0.7832630538818255,0.0001101026370542834,0.31589212669618216,0.012030699382749404
id_test,id,9.075450928444168,0.9578682129152047,0.44287035552474807,1.706414366320959,0.7984969702033621,0.0035738337274599033,1.0246491142605374,0.04728599677563957
id_test,id,10.13514757465001,1.0058300767412969,0.38671008408187324,0.3158299888295379,0.7431856791076759,5.7541410842971985e-06,0.10942253127751117,0.0036810720960801725
id_test,id,10.200809203933266,1.0086346246342424,0.3695837646668322,0.6842029288211318,0.7120332105175349,3.477721698896645e-05,0.20235240244467204,0.007813108420763016
id_test,id,8.816780448548029,0.9453100263727501,0.4441766580146966,0.5576775279769657,0.8165499964141406,5.230831909926528e-05,0.24893937716069559,0.00827863830169294
id_test,id,10.263394573847085,1.0112910256195995,0.3952397747269091,1.1653776568115182,0.7653280043886774,0.00026008491019644496,0.9052631590591789,0.011527759949297618
id_test,id,12.513672737397084,1.0973847929807419,0.4189448140125561,0.979055464555642,0.7628535850869013,0.00013832204677193937,0.8343891719206491,0.007259035382849083
id_test,id,9.212068726710985,0.9643571694088122,0.4078513598717066,0.5540946925127604,0.7624513167505245,7.163233685365984e-05,0.2810353417571647,0.013916110463338703
id_test,id,10.894686043559842,1.037214719568065,0.41146329364735285,0.6602490257323946,0.7559521672259829,3.0158586602944785e-05,0.24372717825370588,0.007609724147619645
id_test,id,9.766051802261773,0.989719023635496,0.4799139981994731,0.4592590614333683,0.8462918551365449,1.4252936471548933e-05,0.14513286395679725,0.005004780149864041
id_test,id,12.238181497149123,1.0877168897055507,0.4752263231435623,0.7309502541194459,0.8352728268475297,9.777367665760386e-05,0.3936665478981878,0.010413286647395692
id_test,id,12.514310044803658,1.0974069105514945,0.36179957995268985,1.5342421510130793,0.7405736775050173,0.0028074587979128353,1.7713847753710132,0.03189694481302314
id_test,id,7.961597813963602,0.9010002351478987,0.2871631650800229,0.7751545766211636,0.5986666345743953,3.5158690385822707e-05,0.3668049408826993,0.005051228328280909
id_test,id,9.504434173398884,0.9779262672034836,0.2603158170396593,0.7318629055004481,0.6124196341992529,5.377160709819223e-05,0.34884694256545146,0.009143510728806977
id_test,id,12.300263535812809,1.0899144164278112,0.48904522369117476,0.7057024804969002,0.8386554358106413,0.00015815310651377812,0.3735237550991568,0.01727772925729238
id_test,id,9.195718774446688,0.9635856811553947,0.34785016882126607,0.6411864375123932,0.6957260438671619,5.522555561331827e-05,0.4619212919580127,0.00529473066318328
id_test,id,9.456399328637373,0.9757258035325423,0.4700518812256708,0.5304223564931806,0.8146535065580295,4.563878479295347e-05,0.262658810575548,0.009094887643286658
id_test,id,14.35906979362742,1.1571263064699706,0.31771012034474355,0.9647689386139168,0.7213547165175584,0.00011342584772821088,0.5833936631190708,0.01267315747846527
id_test,id,10.129165235497293,1.0055736558123012,0.37767955518264523,0.6719983251884709,0.7604709833896882,2.698112351618917e-05,0.2688702168468674,0.006415022294054296
id_test,id,10.329997129674219,1.0141002008872366,0.40480480247849704,1.513126556734647,0.7505671887195136,0.0018692173195513362,1.5273037950512105,0.020498829798460187
id_test,id,10.854909913313072,1.0356262235639004,0.44705405235950135,0.7228886827562483,0.7830324608475969,5.475289433110389e-05,0.36932014877385105,0.008445271594319206
id_test,id,10.35640009263481,1.0152088199688443,0.3877302878002075,1.0045443311516484,0.6998074012199949,4.811597823054046e-05,0.40645856075420644,0.007795749009008309
