role,tier,sample_index,distance_mahal,distance_mahal_recovered,disagreement,sem_lo,sem_hi
scatter,id,698,6.349969387054443,6.34996780726323,0.06717151057626351,,
scatter,id,751,15.01422119140625,15.014222214911522,0.3138279942016101,,
scatter,id,8478,8.93418025970459,8.934181077710322,0.13396953041261342,,
scatter,id,7993,9.01158618927002,9.011586683137292,0.12352999748743462,,
scatter,id,2686,5.637815475463867,5.6378154124795214,0.0647838288830797,,
scatter,id,1281,12.384390830993652,12.384394805355218,0.19063869489360127,,
scatter,id,4104,6.505801200866699,6.5058014683123435,0.07573398882156937,,
scatter,id,9902,13.960855484008789,13.960863029809396,0.23283122155142832,,
scatter,id,6450,6.76773738861084,6.767735948593363,0.0766291831351469,,
scatter,id,8979,10.154496192932129,10.154496408770251,0.14545225005097404,,
scatter,id,1016,37.85378646850586,37.85383843453244,0.5484452961191488,,
scatter,id,8059,9.969077110290527,9.96907872670854,0.15328200621421037,,
scatter,id,5015,32.28347396850586,32.28350150819781,0.70781357336682,,
scatter,id,9043,14.714961051940918,14.714965185459645,0.24592610012130545,,
scatter,id,4423,7.703282356262207,7.70328205983634,0.07944295517596835,,
scatter,id,9522,7.126658916473389,7.126656479536685,0.06984197486897896,,
scatter,id,4806,10.328692436218262,10.328693436308095,0.18146806370833884,,
scatter,id,9100,10.558591842651367,10.558592321666636,0.1536016272096147,,
scatter,id,275,16.914230346679688,16.91423840057955,0.41639929051093744,,
scatter,id,8366,27.012361526489258,27.012394270116893,0.4588460659818976,,
scatter,id,3848,13.251611709594727,13.251618749605463,0.19528991501526488,,
scatter,id,4034,10.243836402893066,10.243842078968795,0.15984030537307672,,
scatter,id,4680,22.427827835083008,22.427853534942656,0.3494845802645398,,
scatter,id,1117,22.950546264648438,22.95057270855356,0.5668823276720075,,
scatter,id,7828,14.424422264099121,14.424437223426926,0.24773437559963568,,
scatter,id,5329,10.93176555633545,10.931774812990092,0.1754259279690995,,
scatter,id,9614,13.717013359069824,13.717025428597188,0.24674804352054647,,
scatter,id,9045,6.6743998527526855,6.674400587611321,0.08000830743632714,,
scatter,id,802,10.819557189941406,10.819560635032838,0.1322166189974445,,
