env,seed,regime,distance_mahal,disagreement_sqrt_predvar
Hopper-v5,0,id,9.646307429746837,0.08110646237343122
Hopper-v5,0,id,10.422036429397071,0.08500853115283205
Hopper-v5,0,id,9.562064494591372,0.08426675343195594
Hopper-v5,0,id,7.327301413011177,0.08584417076184778
Hopper-v5,0,id,9.326029160186241,0.09061335497063504
Hopper-v5,0,id,9.588125289715151,0.09575772674132195
Hopper-v5,0,id,8.39433015635201,0.09727902990296089
Hopper-v5,0,id,10.142107432233859,0.12213657106804263
Hopper-v5,0,id,11.34698212398728,0.1613100464322781
Hopper-v5,0,id,10.740826642075337,0.20145835662619435
Hopper-v5,0,id,10.254811583037428,0.2558236424777932
Hopper-v5,0,id,14.063878951425364,0.34933586716931136
Hopper-v5,0,id,16.52303975583156,0.2263506359141547
Hopper-v5,0,id,15.348781377534001,0.12183914803484905
Hopper-v5,0,id,16.544966654144613,0.12044831125441151
Hopper-v5,0,id,18.992428563991986,0.0970981337362184
Hopper-v5,0,id,11.285634828421637,0.08270820795979754
Hopper-v5,0,id,10.24538676381197,0.07809583000162305
Hopper-v5,0,id,12.50072455764683,0.08062071270411128
Hopper-v5,0,id,11.242502137629094,0.08720747038761652
Hopper-v5,0,id,12.82130647640897,0.09609556991125356
Hopper-v5,0,id,12.859928666369454,0.1025180749758871
Hopper-v5,0,id,11.26590978116955,0.09689815959661435
Hopper-v5,0,id,9.306686355042576,0.0951905733133364
Hopper-v5,0,id,9.611782297926501,0.09690412806402325
Hopper-v5,0,id,8.827663395281833,0.09934357165644292
Hopper-v5,0,id,10.53358187329136,0.1001524240414671
Hopper-v5,0,id,9.877357591761278,0.10887683515638974
Hopper-v5,0,id,10.089569051340634,0.1186364245626339
Hopper-v5,0,id,10.847373626569807,0.13634094079669246
Hopper-v5,0,id,14.032557436968494,0.1923280918897017
Hopper-v5,0,id,12.15732148584073,0.17718578394978873
Hopper-v5,0,id,11.89513364977452,0.11681663320545166
Hopper-v5,0,id,11.59493806910412,0.09601970296910885
Hopper-v5,0,id,11.695741725099928,0.09273580992728571
Hopper-v5,0,id,10.345546734304977,0.09318222032892914
Hopper-v5,0,id,10.7533684158495,0.09904074583453348
Hopper-v5,0,id,10.948281423387467,0.11971966939875323
Hopper-v5,0,id,11.281154734936159,0.16475748272633584
Hopper-v5,0,id,12.242304297192016,0.24673948642928883
Hopper-v5,0,id,12.770899694608982,0.35687992302994664
Hopper-v5,0,id,12.754827565830242,0.42425594623402113
Hopper-v5,0,id,14.342611078774869,0.4808821566629018
Hopper-v5,0,id,23.351588435140116,0.5711623874649084
