env,seed,direction,regime,alpha,rel_lin_err_median,rel_by_actual_median,cosine_median,spearman_normlin_normact,remainder_median,norm_actual_median,norm_linear_median,cd_reldiff_eps1e-3,cd_reldiff_eps1e-2
Ant-v5,0,1,id,0.1,0.1330498456954956,0.13269630074501038,0.9912939071655273,0.9927371907062841,0.0024194756988435984,0.01466996781527996,0.014883192256093025,0.061620451509952545,0.061620451509952545
Ant-v5,0,1,id,0.25,0.2322346270084381,0.22892600297927856,0.9752691984176636,0.9799174979374486,0.008992616087198257,0.036410704255104065,0.03720797970890999,0.061620451509952545,0.061620451509952545
Ant-v5,0,1,id,0.5,0.38826072216033936,0.4122280776500702,0.9254997968673706,0.9674641866046652,0.029153062030673027,0.0706702172756195,0.07441595941781998,0.061620451509952545,0.061620451509952545
Ant-v5,0,1,id,1.0,0.6525530815124512,0.7215790152549744,0.7772976756095886,0.9329528238205957,0.09776400029659271,0.13150355219841003,0.14883191883563995,0.061620451509952545,0.061620451509952545
Ant-v5,0,1,id,2.0,0.907092809677124,1.1581380367279053,0.5238010287284851,0.8899092477311934,0.2606735825538635,0.2183568775653839,0.2976638376712799,0.061620451509952545,0.061620451509952545
Ant-v5,0,1,id,5.0,1.0318578481674194,2.071906566619873,0.19427195191383362,0.8309097727443187,0.7711655497550964,0.36819106340408325,0.7441595792770386,0.061620451509952545,0.061620451509952545
Ant-v5,0,1,id,10.0,1.03110933303833,3.450443744659424,0.05164412409067154,0.8081692042301059,1.53627347946167,0.4662588834762573,1.4883191585540771,0.061620451509952545,0.061620451509952545
Ant-v5,0,1,id,20.0,1.0108832120895386,6.061788082122803,0.007373339496552944,0.7728598214955376,3.042031764984131,0.518537700176239,2.9766383171081543,0.061620451509952545,0.061620451509952545
Ant-v5,0,1,id,50.0,1.002870798110962,14.171797752380371,-0.014363273046910763,0.7064876621915548,7.545782089233398,0.5516760349273682,7.441596031188965,0.061620451509952545,0.061620451509952545
Ant-v5,0,1,near,0.05,0.343468576669693,0.3224508762359619,0.94740891456604,0.9474911872796821,0.005466718226671219,0.017984487116336823,0.016961872577667236,0.034162841737270355,0.034162841737270355
Ant-v5,0,1,near,0.1,0.24597443640232086,0.24049033224582672,0.9713371992111206,0.9669346733668343,0.007929499261081219,0.03455333411693573,0.03392374515533447,0.034162841737270355,0.034162841737270355
Ant-v5,0,1,near,0.25,0.2961805462837219,0.29431116580963135,0.9579707384109497,0.9796369909247732,0.02421443909406662,0.08279788494110107,0.08480936288833618,0.034162841737270355,0.034162841737270355
Ant-v5,0,1,near,0.5,0.4580729007720947,0.4512830972671509,0.8996739387512207,0.9733173329333235,0.07080249488353729,0.165877565741539,0.16961872577667236,0.034162841737270355,0.034162841737270355
Ant-v5,0,1,near,1.0,0.682597815990448,0.7258155345916748,0.7647530436515808,0.9442121053026328,0.22602474689483643,0.3153727054595947,0.3392374515533447,0.034162841737270355,0.034162841737270355
Ant-v5,0,1,near,2.0,0.9414896965026855,1.114213228225708,0.5075082182884216,0.8802445061126529,0.6129839420318604,0.5816605091094971,0.6784749031066895,0.034162841737270355,0.034162841737270355
Ant-v5,0,1,near,5.0,1.0968577861785889,1.81846022605896,0.1525334268808365,0.8205025125628143,1.8303568363189697,1.001525640487671,1.696187138557434,0.034162841737270355,0.034162841737270355
Ant-v5,0,1,near,10.0,1.0716896057128906,2.667457342147827,0.030551956966519356,0.7396339908497712,3.6454267501831055,1.379887342453003,3.392374277114868,0.034162841737270355,0.034162841737270355
Ant-v5,0,1,near,20.0,1.0371687412261963,3.9845666885375977,-0.010404371656477451,0.5932183304582617,6.847508430480957,1.839964509010315,6.784748554229736,0.034162841737270355,0.034162841737270355
Ant-v5,0,1,near,50.0,1.0043632984161377,9.854928970336914,0.016131632030010223,0.6319822995574891,16.811323165893555,1.758169174194336,16.961872100830078,0.034162841737270355,0.034162841737270355
Ant-v5,0,1,mid,0.05,0.7133427858352661,0.5926156044006348,0.8058170080184937,0.9216290407260183,0.013751611113548279,0.029130373150110245,0.020511623471975327,0.03349104896187782,0.03349104896187782
Ant-v5,0,1,mid,0.1,0.4050968587398529,0.3845916986465454,0.9236421585083008,0.9436660916522915,0.01651597023010254,0.04828977957367897,0.04102324694395065,0.03349104896187782,0.03349104896187782
Ant-v5,0,1,mid,0.25,0.37907159328460693,0.36844193935394287,0.9314457774162292,0.9702932573314335,0.037906937301158905,0.10868190228939056,0.10255811363458633,0.03349104896187782,0.03349104896187782
Ant-v5,0,1,mid,0.5,0.5073145627975464,0.504927396774292,0.8716937303543091,0.9794809870246757,0.1036473959684372,0.20540767908096313,0.20511622726917267,0.03349104896187782,0.03349104896187782
Ant-v5,0,1,mid,1.0,0.7408746480941772,0.7689205408096313,0.7221829295158386,0.9704102602565065,0.2849990725517273,0.3774544894695282,0.41023245453834534,0.03349104896187782,0.03349104896187782
Ant-v5,0,1,mid,2.0,0.9861657619476318,1.1194639205932617,0.45918411016464233,0.9441281032025801,0.7843464612960815,0.6775578856468201,0.8204649090766907,0.03349104896187782,0.03349104896187782
Ant-v5,0,1,mid,5.0,1.090280532836914,1.8354958295822144,0.15181680023670197,0.9016605415135379,2.2369842529296875,1.18534255027771,2.0511622428894043,0.03349104896187782,0.03349104896187782
Ant-v5,0,1,mid,10.0,1.0627481937408447,2.7348155975341797,0.02327798865735531,0.8375534388359709,4.43785285949707,1.5666046142578125,4.102324485778809,0.03349104896187782,0.03349104896187782
Ant-v5,0,1,mid,20.0,1.025018334388733,4.201150894165039,0.006198447663336992,0.6890812270306759,8.730210304260254,2.001460075378418,8.204648971557617,0.03349104896187782,0.03349104896187782
Ant-v5,0,1,mid,50.0,1.003953218460083,10.270679473876953,0.008601697161793709,0.6675706892672317,20.905487060546875,2.076594352722168,20.51162338256836,0.03349104896187782,0.03349104896187782
Ant-v5,0,1,far,0.05,6.320431709289551,0.9823018312454224,0.20007118582725525,0.7303457586439661,0.6393609046936035,0.6569137573242188,0.10273154079914093,0.03768507018685341,0.03768507018685341
Ant-v5,0,1,far,0.1,3.1382179260253906,0.9453473091125488,0.3284253180027008,0.7626775669391737,0.6383594274520874,0.6935644149780273,0.20546308159828186,0.03768507018685341,0.03768507018685341
Ant-v5,0,1,far,0.25,1.2733571529388428,0.8003727197647095,0.6009596586227417,0.8567704192604817,0.6586251258850098,0.8663541078567505,0.5136576890945435,0.03768507018685341,0.03768507018685341
