factor,cell_key,seed,status,id_acc,id_nll,id_ece,val_nll,posthoc_temperature,near_auroc,near_fpr95,far_auroc,far_fpr95,ps,K,M,subset_size,chunk_size,lambda_reg,bootstrap_frac,stage_idx,block_idx,runtime_sec,start_utc,end_utc,output_path,note
calib,calib_ss2048,0,ok,89.10999894142151,0.41704052686691284,0.11602350270450115,0.4182296395301819,0.3658616965786649,79.50275975000001,73.07000000000001,80.01604505355002,64.0475,25,20,50,2048,1024,0.001,0.05,3,0,828.8,2026-07-23T22:21:28.375239+00:00,2026-07-23T22:35:17.147867+00:00,/home/elean/pnc/results/neurips_2026_rebuttal/cifar/sweeps/sweep_calib_ss2048_seed0.json,
calib,calib_ss4096,0,ok,95.02999782562256,0.17929652333259583,0.022453499422967434,0.1738441288471222,0.4070501084821099,90.81871575,37.480000000000004,94.79518249890914,18.035,25,20,50,4096,1024,0.001,0.05,3,0,834.7,2026-07-23T22:35:17.247806+00:00,2026-07-23T22:49:11.973673+00:00,/home/elean/pnc/results/neurips_2026_rebuttal/cifar/sweeps/sweep_calib_ss4096_seed0.json,
ridge,ridge_lam0,0,ok,9.999999403953552,3.1900484561920166,0.5502048045277596,3.2199528217315674,99.99993582370774,67.13934375000001,82.065,81.65024416016185,54.7,25,20,50,1024,1024,0.0,0.05,3,0,828.6,2026-07-23T22:49:12.075119+00:00,2026-07-23T23:03:00.713955+00:00,/home/elean/pnc/results/neurips_2026_rebuttal/cifar/sweeps/sweep_ridge_lam0_seed0.json,
ridge,ridge_lam0.0001,0,ok,93.83999705314636,0.22168326377868652,0.03170798972696066,0.2210271954536438,0.30239728111182246,90.38986600000001,37.614999999999995,95.72167361220943,15.129999999999999,25,20,50,1024,1024,0.0001,0.05,3,0,826.9,2026-07-23T23:03:00.817946+00:00,2026-07-23T23:16:47.709501+00:00,/home/elean/pnc/results/neurips_2026_rebuttal/cifar/sweeps/sweep_ridge_lam0.0001_seed0.json,
ridge,ridge_lam0.01,0,ok,95.90999484062195,0.13387244939804077,0.005192186903953552,0.12447530031204224,0.7897759483633183,91.37497800000001,33.86,95.55097201386455,17.677500000000002,25,20,50,1024,1024,0.01,0.05,3,0,818.4,2026-07-23T23:16:47.816185+00:00,2026-07-23T23:30:26.217310+00:00,/home/elean/pnc/results/neurips_2026_rebuttal/cifar/sweeps/sweep_ridge_lam0.01_seed0.json,
ridge,ridge_lam0.1,0,ok,95.90999484062195,0.13388441503047943,0.004968174460530281,0.12446408718824387,0.7906846961820825,91.3777585,33.89,95.5557748325863,17.677500000000002,25,20,50,1024,1024,0.1,0.05,3,0,837.2,2026-07-23T23:30:26.320841+00:00,2026-07-23T23:44:23.477755+00:00,/home/elean/pnc/results/neurips_2026_rebuttal/cifar/sweeps/sweep_ridge_lam0.1_seed0.json,
ridge,ridge_lam1,0,ok,95.8899974822998,0.13391990959644318,0.004793067076802254,0.12438447028398514,0.7943019286531959,91.37597825,33.904999999999994,95.55865637609358,17.66,25,20,50,1024,1024,1.0,0.05,3,0,822.7,2026-07-23T23:44:23.583661+00:00,2026-07-23T23:58:06.299929+00:00,/home/elean/pnc/results/neurips_2026_rebuttal/cifar/sweeps/sweep_ridge_lam1_seed0.json,
block,block_s1b0,0,ok,95.45999765396118,0.1463554948568344,0.005348009073734283,0.14093492925167084,1.189704232824514,89.55982249999998,43.84,93.40818581582842,25.7575,25,20,50,1024,16,0.001,0.05,1,0,856.6,2026-07-23T23:58:06.404512+00:00,2026-07-24T00:12:23.034017+00:00,/home/elean/pnc/results/neurips_2026_rebuttal/cifar/sweeps/sweep_block_s1b0_seed0.json,
block,block_s2b1,0,ok,94.96999979019165,0.15649130940437317,0.0038536095082759856,0.14387238025665283,1.0809739450788969,89.43656849999999,38.865,93.84007111039986,23.1425,25,20,50,1024,16,0.001,0.05,2,1,852.6,2026-07-24T00:12:23.177153+00:00,2026-07-24T00:26:35.814901+00:00,/home/elean/pnc/results/neurips_2026_rebuttal/cifar/sweeps/sweep_block_s2b1_seed0.json,
scale,scale_ps6.25,1,ok,95.94999551773071,0.14230145514011383,0.00758155707269907,0.1437932252883911,1.306235317896039,88.48830125,61.660000000000004,91.92611249593463,35.192499999999995,6.25,20,50,1024,1024,0.001,0.05,3,0,870.6,2026-07-24T03:25:43.570645+00:00,2026-07-24T03:40:14.204019+00:00,/home/elean/pnc/results/neurips_2026_rebuttal/cifar/sweeps/sweep_scale_ps6.25_seed1.json,
