cell_key,n_seeds,seeds,factor,ps,K,subset_size,lambda_reg,stage_idx,block_idx,id_acc_mean,id_acc_std,id_nll_mean,id_nll_std,id_ece_mean,id_ece_std,val_nll_mean,val_nll_std,posthoc_temperature_mean,posthoc_temperature_std,near_auroc_mean,near_auroc_std,near_fpr95_mean,near_fpr95_std,far_auroc_mean,far_auroc_std,far_fpr95_mean,far_fpr95_std
ridge_lam0,2,"0,2",ridge,25.0,20,1024,0.0,3,0,9.999999403953552,0.0,3.487246870994568,0.4203020289295528,0.6122053391218185,0.08768199689730044,3.5159382820129395,0.4185866521951598,99.99993582370774,0.0,68.02831675,1.2571976731834873,80.5075,2.202637623396092,82.65809700527092,1.4253191624295678,53.5225,1.6652364696943223
ridge_lam0.0001,3,"0,1,2",ridge,25.0,20,1024,0.0001,3,0,92.85333156585693,1.1705252724655157,0.26829315225283307,0.04767212623399809,0.04962031025538837,0.016328074047999065,0.2726636826992035,0.05260000591190014,0.29106187716817583,0.021270603559717886,89.846024,0.7846036402697613,37.97666666666667,1.122099965837863,94.75343342697386,0.869988284094259,17.4325,2.0518634823009054
ridge_lam0.001,3,"0,1,2",ridge,25.0,20,1024,0.001,3,0,95.59333125750224,0.24583084915776882,0.13843568662802372,0.003813186942171195,0.005024764280517867,0.0010249261422471427,0.1304187004764875,0.004806067524586967,0.7561953443951285,0.00823411196548577,91.55441308333333,0.1613271495380902,33.083333333333336,0.7728895997057613,95.09296193941425,0.616655552668609,18.148333333333337,1.3120268988604353
ridge_lam0.01,3,"0,1,2",ridge,25.0,20,1024,0.01,3,0,95.61666250228882,0.26950491932828236,0.13809973994890845,0.0038987140669809704,0.005283190651734634,0.0004133285746022221,0.12956274052460984,0.004482290091329533,0.7863310459596645,0.003583389666791802,91.48541033333333,0.147286181748816,33.33166666666667,0.4576115528844652,95.02591045417626,0.5598964610366243,18.352500000000003,1.1626451522283132
ridge_lam0.1,3,"0,1,2",ridge,25.0,20,1024,0.1,3,0,95.6233282883962,0.27153888478291044,0.13810712099075315,0.00389797717594896,0.0052497766554354995,0.0005189055386804538,0.1295509611566861,0.004483614734689467,0.7872437287589844,0.0034116347587777604,91.48672125,0.14663656381147028,33.32333333333334,0.49074772881117856,95.03632164493455,0.556349481631647,18.36666666666667,1.1421042348810944
ridge_lam1,3,"0,1,2",ridge,25.0,20,1024,1.0,3,0,95.60999870300293,0.2662697300317785,0.1381368388732274,0.00386985169540763,0.005306073611974667,0.0012423326235954466,0.12952149659395215,0.004533324968893931,0.7918534250662774,0.002674557634065564,91.48941233333333,0.1475994967010272,33.38,0.45620718977236335,95.04139751632506,0.5531416879517945,18.31833333333333,1.1359394056609413
scale_ps6.25,3,"0,1,2",scale,6.25,20,1024,0.001,3,0,95.76666355133057,0.2514636240394201,0.14170069992542264,0.004912644881257227,0.009240531540413667,0.0020174930862548795,0.13780704140663144,0.006424059052169647,1.2862365941989637,0.01867695270260694,88.54378558333333,0.05920513293906979,60.19833333333333,1.3997708145740613,92.47681820181565,1.0203253441783877,32.986666666666665,4.314684470889304
scale_ps12.5,3,"0,1,2",scale,12.5,20,1024,0.001,3,0,95.71666518847148,0.1877056302294753,0.13839411735534668,0.004408999254975812,0.008883541223903434,0.0013197645721022215,0.13363545636336002,0.005174215976831693,1.1695133109805118,0.010366038657628597,89.81574116666667,0.038268934663396446,46.458333333333336,0.5559751193473812,93.57720765515619,0.7276759305436905,24.775000000000002,1.8959183131137272
scale_ps25.0,3,"0,1,2",scale,25.0,20,1024,0.001,3,0,95.59333125750224,0.24583084915776882,0.13844851652781165,0.0038224689438792646,0.0047890506525834,0.0010442312129830813,0.13042484472195304,0.004807329750740856,0.7562936823851149,0.008653445472895538,91.55387216666668,0.1615003471672619,33.059999999999995,0.8093670366403588,95.09644029748438,0.6122281177093696,18.121666666666666,1.2894532109903527
scale_ps50.0,3,"0,1,2",scale,50.0,20,1024,0.001,3,0,34.98333295186361,14.217356970437482,1.5530632734298706,0.32624089566217335,0.25646097023288406,0.12576494520348233,1.5476698478062947,0.3289813682676827,0.6600507067624025,0.24606075137935984,58.15968216666667,3.989731300970219,92.42,4.7607168577851775,68.42348723661058,8.752208995073943,77.22083333333335,12.143568599605862
scale_ps100.0,3,"0,1,2",scale,100.0,20,1024,0.001,3,0,9.999999403953552,0.0,3.7726986408233643,0.7664345413780992,0.6485196918576955,0.1519237873149733,3.794138511021932,0.7731508035988731,99.99993582370774,0.0,62.68771483333333,0.5947381558535544,87.40666666666665,0.3647716180479713,79.3731179111243,3.7945089451774283,61.44333333333333,8.249862246324685
