example_id,env_name,regime,seed,sensitivity_sketch,finite_disagreement,distance_to_calibration,probe_eps,n_probes,pnc_perturbation_scale,target_layer,bootstrap_frac,correction_lambda,calibration_size
63,Ant-v5,id,0,830.3068237304688,93.28304696290897,10.617465019226074,0.32,16,32.0,"even-indexed (l1, l3, …); LS on next layer",0.3,0.1,1024
64,Ant-v5,id,0,3829.092041015625,387.55834497532203,19.992950439453125,0.32,16,32.0,"even-indexed (l1, l3, …); LS on next layer",0.3,0.1,1024
65,Ant-v5,id,0,2206.88037109375,328.79433895821967,27.092775344848633,0.32,16,32.0,"even-indexed (l1, l3, …); LS on next layer",0.3,0.1,1024
66,Ant-v5,id,0,610.6574096679688,71.89383907146328,11.65251350402832,0.32,16,32.0,"even-indexed (l1, l3, …); LS on next layer",0.3,0.1,1024
67,Ant-v5,id,0,3647.272216796875,389.3611819215676,25.996402740478516,0.32,16,32.0,"even-indexed (l1, l3, …); LS on next layer",0.3,0.1,1024
68,Ant-v5,id,0,1067.5439453125,108.72148826961183,9.923127174377441,0.32,16,32.0,"even-indexed (l1, l3, …); LS on next layer",0.3,0.1,1024
69,Ant-v5,id,0,1290.1187744140625,130.82075924015936,10.911199569702148,0.32,16,32.0,"even-indexed (l1, l3, …); LS on next layer",0.3,0.1,1024
70,Ant-v5,id,0,2838.66650390625,292.36547420220415,15.274799346923828,0.32,16,32.0,"even-indexed (l1, l3, …); LS on next layer",0.3,0.1,1024
71,Ant-v5,id,0,3500.2744140625,337.2771977615789,24.529624938964844,0.32,16,32.0,"even-indexed (l1, l3, …); LS on next layer",0.3,0.1,1024
72,Ant-v5,id,0,857.04296875,96.24165037287014,9.51559066772461,0.32,16,32.0,"even-indexed (l1, l3, …); LS on next layer",0.3,0.1,1024
73,Ant-v5,id,0,1882.69970703125,186.0506797557027,15.300202369689941,0.32,16,32.0,"even-indexed (l1, l3, …); LS on next layer",0.3,0.1,1024
74,Ant-v5,id,0,2703.108642578125,278.80663134576923,17.878524780273438,0.32,16,32.0,"even-indexed (l1, l3, …); LS on next layer",0.3,0.1,1024
75,Ant-v5,id,0,2607.686767578125,286.9957269260534,11.798288345336914,0.32,16,32.0,"even-indexed (l1, l3, …); LS on next layer",0.3,0.1,1024
76,Ant-v5,id,0,5882.0439453125,537.1411979420203,13.092347145080566,0.32,16,32.0,"even-indexed (l1, l3, …); LS on next layer",0.3,0.1,1024
77,Ant-v5,id,0,1131.9376220703125,139.08148283308262,17.253198623657227,0.32,16,32.0,"even-indexed (l1, l3, …); LS on next layer",0.3,0.1,1024
78,Ant-v5,id,0,2544.001220703125,251.55944245750467,13.220780372619629,0.32,16,32.0,"even-indexed (l1, l3, …); LS on next layer",0.3,0.1,1024
79,Ant-v5,id,0,1215.3314208984375,138.04310682209857,8.981642723083496,0.32,16,32.0,"even-indexed (l1, l3, …); LS on next layer",0.3,0.1,1024
80,Ant-v5,id,0,743.874755859375,89.59859927006667,13.744077682495117,0.32,16,32.0,"even-indexed (l1, l3, …); LS on next layer",0.3,0.1,1024
81,Ant-v5,id,0,981.8923950195312,107.2866878797229,11.150284767150879,0.32,16,32.0,"even-indexed (l1, l3, …); LS on next layer",0.3,0.1,1024
82,Ant-v5,id,0,1526.351806640625,167.6098941649875,13.078598976135254,0.32,16,32.0,"even-indexed (l1, l3, …); LS on next layer",0.3,0.1,1024
83,Ant-v5,id,0,3339.533935546875,383.56653248321123,21.535953521728516,0.32,16,32.0,"even-indexed (l1, l3, …); LS on next layer",0.3,0.1,1024
84,Ant-v5,id,0,4778.78662109375,490.48372960936376,13.715537071228027,0.32,16,32.0,"even-indexed (l1, l3, …); LS on next layer",0.3,0.1,1024
85,Ant-v5,id,0,5014.990234375,570.455023162933,12.521642684936523,0.32,16,32.0,"even-indexed (l1, l3, …); LS on next layer",0.3,0.1,1024
86,Ant-v5,id,0,787.4298095703125,84.95198760213867,7.896763801574707,0.32,16,32.0,"even-indexed (l1, l3, …); LS on next layer",0.3,0.1,1024
87,Ant-v5,id,0,1061.0087890625,109.37038674900211,5.237671375274658,0.32,16,32.0,"even-indexed (l1, l3, …); LS on next layer",0.3,0.1,1024
88,Ant-v5,id,0,1397.431640625,138.5096334884275,7.874709129333496,0.32,16,32.0,"even-indexed (l1, l3, …); LS on next layer",0.3,0.1,1024
89,Ant-v5,id,0,1249.0054931640625,140.33335526133527,22.324026107788086,0.32,16,32.0,"even-indexed (l1, l3, …); LS on next layer",0.3,0.1,1024
90,Ant-v5,id,0,4748.5537109375,508.2501742598017,26.15003204345703,0.32,16,32.0,"even-indexed (l1, l3, …); LS on next layer",0.3,0.1,1024
91,Ant-v5,id,0,610.4996337890625,68.01623364217133,11.560118675231934,0.32,16,32.0,"even-indexed (l1, l3, …); LS on next layer",0.3,0.1,1024
92,Ant-v5,id,0,1178.396728515625,116.66731932168105,8.646553039550781,0.32,16,32.0,"even-indexed (l1, l3, …); LS on next layer",0.3,0.1,1024
93,Ant-v5,id,0,845.7251586914062,101.30234026150217,16.85370635986328,0.32,16,32.0,"even-indexed (l1, l3, …); LS on next layer",0.3,0.1,1024
94,Ant-v5,id,0,870.5126953125,91.05390753761202,9.500097274780273,0.32,16,32.0,"even-indexed (l1, l3, …); LS on next layer",0.3,0.1,1024
95,Ant-v5,id,0,711.9408569335938,78.37176000998146,10.449710845947266,0.32,16,32.0,"even-indexed (l1, l3, …); LS on next layer",0.3,0.1,1024
96,Ant-v5,id,0,873.8115844726562,86.34679744412827,9.472582817077637,0.32,16,32.0,"even-indexed (l1, l3, …); LS on next layer",0.3,0.1,1024
97,Ant-v5,id,0,2379.252197265625,243.04688706239415,23.259870529174805,0.32,16,32.0,"even-indexed (l1, l3, …); LS on next layer",0.3,0.1,1024
98,Ant-v5,id,0,918.6129760742188,103.2089051611024,11.13891315460205,0.32,16,32.0,"even-indexed (l1, l3, …); LS on next layer",0.3,0.1,1024
99,Ant-v5,id,0,1472.2216796875,146.9476453849396,5.62355375289917,0.32,16,32.0,"even-indexed (l1, l3, …); LS on next layer",0.3,0.1,1024
100,Ant-v5,id,0,5977.26953125,628.7674155059872,12.770720481872559,0.32,16,32.0,"even-indexed (l1, l3, …); LS on next layer",0.3,0.1,1024
101,Ant-v5,id,0,1029.480224609375,124.54439757832833,15.665971755981445,0.32,16,32.0,"even-indexed (l1, l3, …); LS on next layer",0.3,0.1,1024
102,Ant-v5,id,0,2460.685302734375,255.88099766588982,16.82765769958496,0.32,16,32.0,"even-indexed (l1, l3, …); LS on next layer",0.3,0.1,1024
103,Ant-v5,id,0,2598.83056640625,265.84605590400804,14.651792526245117,0.32,16,32.0,"even-indexed (l1, l3, …); LS on next layer",0.3,0.1,1024
104,Ant-v5,id,0,1275.95654296875,131.2528014983972,6.931946754455566,0.32,16,32.0,"even-indexed (l1, l3, …); LS on next layer",0.3,0.1,1024
105,Ant-v5,id,0,1029.68212890625,114.07507877459153,13.51240348815918,0.32,16,32.0,"even-indexed (l1, l3, …); LS on next layer",0.3,0.1,1024
106,Ant-v5,id,0,6407.2529296875,609.5889308402001,13.877345085144043,0.32,16,32.0,"even-indexed (l1, l3, …); LS on next layer",0.3,0.1,1024
107,Ant-v5,id,0,1476.366943359375,154.19934329365614,11.098307609558105,0.32,16,32.0,"even-indexed (l1, l3, …); LS on next layer",0.3,0.1,1024
108,Ant-v5,id,0,904.1251220703125,97.1932244370602,8.863785743713379,0.32,16,32.0,"even-indexed (l1, l3, …); LS on next layer",0.3,0.1,1024
109,Ant-v5,id,0,1062.1859130859375,106.49419125286153,8.57203197479248,0.32,16,32.0,"even-indexed (l1, l3, …); LS on next layer",0.3,0.1,1024
110,Ant-v5,id,0,1487.987060546875,145.6715546509909,11.565202713012695,0.32,16,32.0,"even-indexed (l1, l3, …); LS on next layer",0.3,0.1,1024
111,Ant-v5,id,0,1512.576416015625,141.61078827182791,10.043022155761719,0.32,16,32.0,"even-indexed (l1, l3, …); LS on next layer",0.3,0.1,1024
112,Ant-v5,id,0,4796.1337890625,527.5274767335568,19.75468635559082,0.32,16,32.0,"even-indexed (l1, l3, …); LS on next layer",0.3,0.1,1024
113,Ant-v5,id,0,913.015380859375,99.16957151391804,7.666236400604248,0.32,16,32.0,"even-indexed (l1, l3, …); LS on next layer",0.3,0.1,1024
114,Ant-v5,id,0,989.2622680664062,102.65534365579532,6.343419551849365,0.32,16,32.0,"even-indexed (l1, l3, …); LS on next layer",0.3,0.1,1024
115,Ant-v5,id,0,1316.32763671875,135.2929215547411,9.66185188293457,0.32,16,32.0,"even-indexed (l1, l3, …); LS on next layer",0.3,0.1,1024
116,Ant-v5,id,0,2421.82470703125,258.9256928089529,14.906906127929688,0.32,16,32.0,"even-indexed (l1, l3, …); LS on next layer",0.3,0.1,1024
117,Ant-v5,id,0,978.1031494140625,109.01590243653354,8.875992774963379,0.32,16,32.0,"even-indexed (l1, l3, …); LS on next layer",0.3,0.1,1024
118,Ant-v5,id,0,1304.0858154296875,132.24778983539977,6.942822456359863,0.32,16,32.0,"even-indexed (l1, l3, …); LS on next layer",0.3,0.1,1024
119,Ant-v5,id,0,4289.40380859375,440.284486537048,10.670416831970215,0.32,16,32.0,"even-indexed (l1, l3, …); LS on next layer",0.3,0.1,1024
120,Ant-v5,id,0,1014.025634765625,106.73839288717213,13.800825119018555,0.32,16,32.0,"even-indexed (l1, l3, …); LS on next layer",0.3,0.1,1024
121,Ant-v5,id,0,1017.8816528320312,117.24289035601339,10.253571510314941,0.32,16,32.0,"even-indexed (l1, l3, …); LS on next layer",0.3,0.1,1024
122,Ant-v5,id,0,1200.0665283203125,128.4730657413572,7.312091827392578,0.32,16,32.0,"even-indexed (l1, l3, …); LS on next layer",0.3,0.1,1024
123,Ant-v5,id,0,2034.528564453125,211.7416905865622,13.009679794311523,0.32,16,32.0,"even-indexed (l1, l3, …); LS on next layer",0.3,0.1,1024
124,Ant-v5,id,0,2275.9404296875,231.62506215546745,15.561312675476074,0.32,16,32.0,"even-indexed (l1, l3, …); LS on next layer",0.3,0.1,1024
125,Ant-v5,id,0,5228.126953125,588.7702538812051,13.658645629882812,0.32,16,32.0,"even-indexed (l1, l3, …); LS on next layer",0.3,0.1,1024
126,Ant-v5,id,0,1002.5110473632812,103.78469142932687,6.891438961029053,0.32,16,32.0,"even-indexed (l1, l3, …); LS on next layer",0.3,0.1,1024
127,Ant-v5,id,0,1098.326171875,122.54861881054356,10.589179039001465,0.32,16,32.0,"even-indexed (l1, l3, …); LS on next layer",0.3,0.1,1024
128,Ant-v5,id,0,6486.6474609375,647.0310771571556,13.219813346862793,0.32,16,32.0,"even-indexed (l1, l3, …); LS on next layer",0.3,0.1,1024
129,Ant-v5,id,0,1176.6654052734375,127.43334925896855,9.44746208190918,0.32,16,32.0,"even-indexed (l1, l3, …); LS on next layer",0.3,0.1,1024
130,Ant-v5,id,0,2237.306884765625,215.94662716618174,9.651862144470215,0.32,16,32.0,"even-indexed (l1, l3, …); LS on next layer",0.3,0.1,1024
131,Ant-v5,id,0,1906.32080078125,196.57158635772052,13.60692024230957,0.32,16,32.0,"even-indexed (l1, l3, …); LS on next layer",0.3,0.1,1024
132,Ant-v5,id,0,1447.6903076171875,147.3906605229153,11.117315292358398,0.32,16,32.0,"even-indexed (l1, l3, …); LS on next layer",0.3,0.1,1024
133,Ant-v5,id,0,1157.5850830078125,120.72000263679675,7.994856834411621,0.32,16,32.0,"even-indexed (l1, l3, …); LS on next layer",0.3,0.1,1024
134,Ant-v5,id,0,1222.1932373046875,126.07183183976423,6.575678825378418,0.32,16,32.0,"even-indexed (l1, l3, …); LS on next layer",0.3,0.1,1024
135,Ant-v5,id,0,1062.2926025390625,113.69697241912701,10.49178409576416,0.32,16,32.0,"even-indexed (l1, l3, …); LS on next layer",0.3,0.1,1024
136,Ant-v5,id,0,5326.23388671875,531.6184476734992,9.865469932556152,0.32,16,32.0,"even-indexed (l1, l3, …); LS on next layer",0.3,0.1,1024
137,Ant-v5,id,0,1180.6661376953125,114.16260654879818,10.599312782287598,0.32,16,32.0,"even-indexed (l1, l3, …); LS on next layer",0.3,0.1,1024
138,Ant-v5,id,0,1546.708984375,176.5475412908938,16.17130470275879,0.32,16,32.0,"even-indexed (l1, l3, …); LS on next layer",0.3,0.1,1024
139,Ant-v5,id,0,1103.028076171875,127.58153949610988,13.714858055114746,0.32,16,32.0,"even-indexed (l1, l3, …); LS on next layer",0.3,0.1,1024
140,Ant-v5,id,0,6909.52294921875,626.4522760862204,13.682625770568848,0.32,16,32.0,"even-indexed (l1, l3, …); LS on next layer",0.3,0.1,1024
141,Ant-v5,id,0,1663.593505859375,165.9085917027915,8.390584945678711,0.32,16,32.0,"even-indexed (l1, l3, …); LS on next layer",0.3,0.1,1024
142,Ant-v5,id,0,1375.31396484375,139.03581838275744,6.4197564125061035,0.32,16,32.0,"even-indexed (l1, l3, …); LS on next layer",0.3,0.1,1024
143,Ant-v5,id,0,1302.183349609375,139.9157514550159,10.506946563720703,0.32,16,32.0,"even-indexed (l1, l3, …); LS on next layer",0.3,0.1,1024
144,Ant-v5,id,0,1553.3204345703125,160.6298024948539,8.876298904418945,0.32,16,32.0,"even-indexed (l1, l3, …); LS on next layer",0.3,0.1,1024
145,Ant-v5,id,0,3346.501953125,390.7806579105091,19.0288028717041,0.32,16,32.0,"even-indexed (l1, l3, …); LS on next layer",0.3,0.1,1024
146,Ant-v5,id,0,1723.6346435546875,172.61670334154977,7.17877721786499,0.32,16,32.0,"even-indexed (l1, l3, …); LS on next layer",0.3,0.1,1024
147,Ant-v5,id,0,1594.814453125,152.59672951078514,8.438071250915527,0.32,16,32.0,"even-indexed (l1, l3, …); LS on next layer",0.3,0.1,1024
148,Ant-v5,id,0,950.714599609375,103.91921639476476,10.080756187438965,0.32,16,32.0,"even-indexed (l1, l3, …); LS on next layer",0.3,0.1,1024
149,Ant-v5,id,0,4659.61181640625,471.40914229004807,11.535064697265625,0.32,16,32.0,"even-indexed (l1, l3, …); LS on next layer",0.3,0.1,1024
150,Ant-v5,id,0,5856.05322265625,548.6446094127065,16.57172966003418,0.32,16,32.0,"even-indexed (l1, l3, …); LS on next layer",0.3,0.1,1024
151,Ant-v5,id,0,5313.4931640625,531.3281365548457,15.171581268310547,0.32,16,32.0,"even-indexed (l1, l3, …); LS on next layer",0.3,0.1,1024
152,Ant-v5,id,0,2254.46826171875,220.75103226872557,9.131156921386719,0.32,16,32.0,"even-indexed (l1, l3, …); LS on next layer",0.3,0.1,1024
153,Ant-v5,id,0,1232.5628662109375,137.6861798858429,12.24964714050293,0.32,16,32.0,"even-indexed (l1, l3, …); LS on next layer",0.3,0.1,1024
154,Ant-v5,id,0,5503.3876953125,580.8372137712196,15.61740779876709,0.32,16,32.0,"even-indexed (l1, l3, …); LS on next layer",0.3,0.1,1024
155,Ant-v5,id,0,2962.400146484375,294.7623501114359,12.138087272644043,0.32,16,32.0,"even-indexed (l1, l3, …); LS on next layer",0.3,0.1,1024
156,Ant-v5,id,0,1056.42431640625,113.61306546318454,14.307402610778809,0.32,16,32.0,"even-indexed (l1, l3, …); LS on next layer",0.3,0.1,1024
157,Ant-v5,id,0,1304.1434326171875,130.790502479805,8.222014427185059,0.32,16,32.0,"even-indexed (l1, l3, …); LS on next layer",0.3,0.1,1024
158,Ant-v5,id,0,1089.284423828125,122.15736438451901,11.83742904663086,0.32,16,32.0,"even-indexed (l1, l3, …); LS on next layer",0.3,0.1,1024
159,Ant-v5,id,0,943.0389404296875,102.96834187466882,8.340995788574219,0.32,16,32.0,"even-indexed (l1, l3, …); LS on next layer",0.3,0.1,1024
160,Ant-v5,id,0,1328.977294921875,152.71187913411276,14.410945892333984,0.32,16,32.0,"even-indexed (l1, l3, …); LS on next layer",0.3,0.1,1024
161,Ant-v5,id,0,1989.407958984375,198.80751746478032,7.84303617477417,0.32,16,32.0,"even-indexed (l1, l3, …); LS on next layer",0.3,0.1,1024
162,Ant-v5,id,0,1028.3721923828125,102.09853209243195,9.471075057983398,0.32,16,32.0,"even-indexed (l1, l3, …); LS on next layer",0.3,0.1,1024
163,Ant-v5,id,0,892.5081176757812,87.58019857202018,8.344277381896973,0.32,16,32.0,"even-indexed (l1, l3, …); LS on next layer",0.3,0.1,1024
164,Ant-v5,id,0,825.3403930664062,92.62253242192847,9.038201332092285,0.32,16,32.0,"even-indexed (l1, l3, …); LS on next layer",0.3,0.1,1024
165,Ant-v5,id,0,3995.8046875,413.28898484203535,12.408069610595703,0.32,16,32.0,"even-indexed (l1, l3, …); LS on next layer",0.3,0.1,1024
166,Ant-v5,id,0,3661.649169921875,336.8883052585379,19.073593139648438,0.32,16,32.0,"even-indexed (l1, l3, …); LS on next layer",0.3,0.1,1024
167,Ant-v5,id,0,1409.08935546875,145.36691218644998,14.869958877563477,0.32,16,32.0,"even-indexed (l1, l3, …); LS on next layer",0.3,0.1,1024
168,Ant-v5,id,0,1175.1571044921875,137.92222988841982,12.883684158325195,0.32,16,32.0,"even-indexed (l1, l3, …); LS on next layer",0.3,0.1,1024
169,Ant-v5,id,0,736.5407104492188,77.44856976519996,13.20699405670166,0.32,16,32.0,"even-indexed (l1, l3, …); LS on next layer",0.3,0.1,1024
170,Ant-v5,id,0,1038.710205078125,109.67708214585667,8.842578887939453,0.32,16,32.0,"even-indexed (l1, l3, …); LS on next layer",0.3,0.1,1024
