id_accuracy,id_brier,id_ece,id_nll,method,n,ood_aupr_in,ood_aupr_out,ood_auroc,ood_fpr95,seed,selected_scale,split,temperature
0.9830508474576272,0.02540707401931286,0.008741226830962678,0.06862298399209976,base_entropy,1003,,,,,42,4.0,id_val,0.8
0.9840478564307079,0.025558805093169212,0.008131296007131679,0.06883502006530762,ffn_pnc,1003,,,,,42,4.0,id_val,0.8
0.9840478564307079,0.38295283913612366,0.5843441120663645,0.9655600786209106,uncorrected,1003,,,,,42,4.0,id_val,0.8
0.9840478564307079,0.025372371077537537,0.008289300432709165,0.06861148029565811,head_pnc,1003,,,,,42,4.0,id_val,0.8
0.9840478564307079,0.025505265220999718,0.013545597597941812,0.06989747285842896,mc_dropout,1003,,,,,42,4.0,id_val,0.8
0.925,0.11813477426767349,0.03165977324855015,0.30341672897338867,base_msp,3080,,,,,42,4.0,id_eval,0.8
0.925,0.11813477426767349,0.03165977324855015,0.30341672897338867,base_energy,3080,,,,,42,4.0,id_eval,0.8
0.925,0.11813477426767349,0.03165977324855015,0.30341672897338867,base_entropy,3080,,,,,42,4.0,id_eval,0.8
0.9253246753246753,0.11781038343906403,0.031061125382200457,0.30131036043167114,ffn_pnc,3080,,,,,42,4.0,id_eval,0.8
0.9204545454545454,0.4425613284111023,0.5500264833088625,1.1427000761032104,uncorrected,3080,,,,,42,4.0,id_eval,0.8
0.925,0.11812970042228699,0.03155622159118772,0.30336716771125793,head_pnc,3080,,,,,42,4.0,id_eval,0.8
0.9253246753246753,0.11298961937427521,0.013192014483275316,0.2821274697780609,mc_dropout,3080,,,,,42,4.0,id_eval,0.8
,,,,base_msp,900,0.9553584851084445,0.7694759645159813,0.8918210678210678,0.5110389610389611,42,4.0,near,0.8
,,,,base_energy,900,0.9725395378369746,0.857345221917887,0.9293109668109669,0.425,42,4.0,near,0.8
,,,,base_entropy,900,0.9593429219344239,0.8095399190614077,0.9027031024531025,0.49772727272727274,42,4.0,near,0.8
,,,,ffn_pnc,900,0.9614162288921745,0.8177142769221036,0.9068459595959595,0.4746753246753247,42,4.0,near,0.8
,,,,uncorrected,900,0.9441023688757606,0.8067967856242863,0.8812398989898991,0.7139610389610389,42,4.0,near,0.8
,,,,head_pnc,900,0.9596927804341913,0.8083878951525031,0.9023288239538241,0.49318181818181817,42,4.0,near,0.8
,,,,mc_dropout,900,0.9674346766697172,0.8322642382911724,0.9172175324675323,0.44123376623376626,42,4.0,near,0.8
,,,,base_msp,3600,0.9357819604840688,0.962977053575264,0.9535660173160174,0.19415584415584416,42,4.0,cross,0.8
,,,,base_energy,3600,0.9733001593254738,0.9850106377413174,0.9800978535353535,0.08181818181818182,42,4.0,cross,0.8
,,,,base_entropy,3600,0.9468149376913325,0.9741230068219215,0.9644311868686868,0.17337662337662338,42,4.0,cross,0.8
,,,,ffn_pnc,3600,0.9509435609578455,0.9765672085921298,0.9675119047619047,0.16298701298701299,42,4.0,cross,0.8
,,,,uncorrected,3600,0.9523555921054153,0.9806005040430065,0.971738997113997,0.09675324675324676,42,4.0,cross,0.8
,,,,head_pnc,3600,0.9470513582405561,0.974167774327971,0.9644194624819625,0.17402597402597403,42,4.0,cross,0.8
,,,,mc_dropout,3600,0.9553886425065149,0.9777704570084904,0.969599927849928,0.16006493506493508,42,4.0,cross,0.8
,,,,base_msp,1000,0.9888132301047301,0.9216617905109117,0.9682702922077923,0.13993506493506494,42,4.0,far,0.8
,,,,base_energy,1000,0.995979501406354,0.9744283278118827,0.9896944805194804,0.04350649350649351,42,4.0,far,0.8
,,,,base_entropy,1000,0.9919932691786071,0.9516616165331404,0.978413961038961,0.11688311688311688,42,4.0,far,0.8
,,,,ffn_pnc,1000,0.992935037414452,0.9572884011413488,0.9810097402597403,0.10649350649350649,42,4.0,far,0.8
,,,,uncorrected,1000,0.9957016696828029,0.973359260237114,0.9887827922077921,0.03149350649350649,42,4.0,far,0.8
,,,,head_pnc,1000,0.9919014006017013,0.9516129455997044,0.9782292207792209,0.11948051948051948,42,4.0,far,0.8
,,,,mc_dropout,1000,0.993322369932697,0.9594246936927694,0.9821470779220779,0.09707792207792208,42,4.0,far,0.8
0.9830508474576272,0.02540707401931286,0.008741226830962678,0.06862298399209976,base_msp,1003,,,,,123,4.0,id_val,0.8
0.9830508474576272,0.02540707401931286,0.008741226830962678,0.06862298399209976,base_energy,1003,,,,,123,4.0,id_val,0.8
0.9830508474576272,0.02540707401931286,0.008741226830962678,0.06862298399209976,base_entropy,1003,,,,,123,4.0,id_val,0.8
0.9840478564307079,0.025671079754829407,0.008878760537502207,0.06908008456230164,ffn_pnc,1003,,,,,123,4.0,id_val,0.8
0.9860418743768694,0.3174464702606201,0.5291632065105653,0.8273425698280334,uncorrected,1003,,,,,123,4.0,id_val,0.8
0.9840478564307079,0.025388920679688454,0.008265100798364443,0.06862746924161911,head_pnc,1003,,,,,123,4.0,id_val,0.8
0.9840478564307079,0.025662144646048546,0.010223049718741804,0.07000863552093506,mc_dropout,1003,,,,,123,4.0,id_val,0.8
0.925,0.11813477426767349,0.03165977324855015,0.30341672897338867,base_msp,3080,,,,,123,4.0,id_eval,0.8
0.925,0.11813477426767349,0.03165977324855015,0.30341672897338867,base_energy,3080,,,,,123,4.0,id_eval,0.8
0.925,0.11813477426767349,0.03165977324855015,0.30341672897338867,base_entropy,3080,,,,,123,4.0,id_eval,0.8
0.9256493506493506,0.11778345704078674,0.03128203280850666,0.3011872470378876,ffn_pnc,3080,,,,,123,4.0,id_eval,0.8
0.9214285714285714,0.3834531009197235,0.4982740092151738,1.0100317001342773,uncorrected,3080,,,,,123,4.0,id_eval,0.8
0.9253246753246753,0.11814621090888977,0.0308933426033367,0.3033948540687561,head_pnc,3080,,,,,123,4.0,id_eval,0.8
0.924025974025974,0.11457128822803497,0.013022139820862916,0.2845177948474884,mc_dropout,3080,,,,,123,4.0,id_eval,0.8
,,,,base_msp,900,0.9553584851084445,0.7694759645159813,0.8918210678210678,0.5110389610389611,123,4.0,near,0.8
,,,,base_energy,900,0.9725395378369746,0.857345221917887,0.9293109668109669,0.425,123,4.0,near,0.8
,,,,base_entropy,900,0.9593429219344239,0.8095399190614077,0.9027031024531025,0.49772727272727274,123,4.0,near,0.8
,,,,ffn_pnc,900,0.9614058446862885,0.817823714147911,0.9067276334776334,0.4779220779220779,123,4.0,near,0.8
,,,,uncorrected,900,0.949678920208681,0.8138845921657872,0.8893751803751803,0.6574675324675324,123,4.0,near,0.8
,,,,head_pnc,900,0.9592036037921569,0.808098049604081,0.9018407287157287,0.4974025974025974,123,4.0,near,0.8
,,,,mc_dropout,900,0.9669054851250569,0.831076349936413,0.9165901875901876,0.44415584415584414,123,4.0,near,0.8
,,,,base_msp,3600,0.9357819604840688,0.962977053575264,0.9535660173160174,0.19415584415584416,123,4.0,cross,0.8
,,,,base_energy,3600,0.9733001593254738,0.9850106377413174,0.9800978535353535,0.08181818181818182,123,4.0,cross,0.8
,,,,base_entropy,3600,0.9468149376913325,0.9741230068219215,0.9644311868686868,0.17337662337662338,123,4.0,cross,0.8
,,,,ffn_pnc,3600,0.9508837195304661,0.9765873684951476,0.9674960317460318,0.16298701298701299,123,4.0,cross,0.8
,,,,uncorrected,3600,0.9519807127436277,0.981234494157293,0.9723956529581529,0.09837662337662338,123,4.0,cross,0.8
,,,,head_pnc,3600,0.9469234762045834,0.9741236378041104,0.9643527236652236,0.17435064935064934,123,4.0,cross,0.8
,,,,mc_dropout,3600,0.9560093618120862,0.9774637745853288,0.9693981782106782,0.15584415584415584,123,4.0,cross,0.8
,,,,base_msp,1000,0.9888132301047301,0.9216617905109117,0.9682702922077923,0.13993506493506494,123,4.0,far,0.8
,,,,base_energy,1000,0.995979501406354,0.9744283278118827,0.9896944805194804,0.04350649350649351,123,4.0,far,0.8
,,,,base_entropy,1000,0.9919932691786071,0.9516616165331404,0.978413961038961,0.11688311688311688,123,4.0,far,0.8
,,,,ffn_pnc,1000,0.9929889322202197,0.9577102879983537,0.9811464285714285,0.10454545454545454,123,4.0,far,0.8
,,,,uncorrected,1000,0.995771641803852,0.9742226680691465,0.9890535714285714,0.03636363636363636,123,4.0,far,0.8
,,,,head_pnc,1000,0.9918584517216529,0.9514571569586512,0.9781340909090909,0.11915584415584415,123,4.0,far,0.8
,,,,mc_dropout,1000,0.9931221952510543,0.9579090031184946,0.9815025974025974,0.10974025974025974,123,4.0,far,0.8
0.9830508474576272,0.02540707401931286,0.008741226830962678,0.06862298399209976,base_msp,1003,,,,,2026,4.0,id_val,0.8
0.9830508474576272,0.02540707401931286,0.008741226830962678,0.06862298399209976,base_energy,1003,,,,,2026,4.0,id_val,0.8
0.9830508474576272,0.02540707401931286,0.008741226830962678,0.06862298399209976,base_entropy,1003,,,,,2026,4.0,id_val,0.8
0.9840478564307079,0.025601202622056007,0.010034339615735344,0.0688888281583786,ffn_pnc,1003,,,,,2026,4.0,id_val,0.8
0.9840478564307079,0.3927021920681,0.5932224973337957,0.9858350157737732,uncorrected,1003,,,,,2026,4.0,id_val,0.8
0.9840478564307079,0.025320351123809814,0.008425222733916961,0.06847928464412689,head_pnc,1003,,,,,2026,4.0,id_val,0.8
0.9840478564307079,0.02508033812046051,0.011299808206016282,0.06908420473337173,mc_dropout,1003,,,,,2026,4.0,id_val,0.8
0.925,0.11813477426767349,0.03165977324855015,0.30341672897338867,base_msp,3080,,,,,2026,4.0,id_eval,0.8
0.925,0.11813477426767349,0.03165977324855015,0.30341672897338867,base_energy,3080,,,,,2026,4.0,id_eval,0.8
0.925,0.11813477426767349,0.03165977324855015,0.30341672897338867,base_entropy,3080,,,,,2026,4.0,id_eval,0.8
