id_accuracy,id_brier,id_ece,id_nll,method,n,ood_aupr_in,ood_aupr_out,ood_auroc,ood_fpr95,seed,selected_scale,split,temperature
0.9253246753246752,0.117810383439064,0.0310611253822004,0.3013103604316711,ffn_pnc,3080,,,,,42,4.0,id_eval,0.8
0.9204545454545454,0.4425613284111023,0.5500264833088625,1.1427000761032104,uncorrected,3080,,,,,42,4.0,id_eval,0.8
0.925,0.1181297004222869,0.0315562215911877,0.3033671677112579,head_pnc,3080,,,,,42,4.0,id_eval,0.8
0.9253246753246752,0.1129896193742752,0.0131920144832753,0.2821274697780609,mc_dropout,3080,,,,,42,4.0,id_eval,0.8
,,,,base_msp,900,0.9553584851084445,0.7694759645159813,0.8918210678210678,0.5110389610389611,42,4.0,near,0.8
,,,,base_energy,900,0.9725395378369746,0.857345221917887,0.9293109668109668,0.425,42,4.0,near,0.8
,,,,base_entropy,900,0.959342921934424,0.8095399190614077,0.9027031024531024,0.4977272727272727,42,4.0,near,0.8
,,,,ffn_pnc,900,0.9614162288921744,0.8177142769221036,0.9068459595959596,0.4746753246753247,42,4.0,near,0.8
,,,,uncorrected,900,0.9441023688757606,0.8067967856242863,0.8812398989898991,0.7139610389610389,42,4.0,near,0.8
,,,,head_pnc,900,0.9596927804341912,0.8083878951525031,0.902328823953824,0.4931818181818181,42,4.0,near,0.8
,,,,mc_dropout,900,0.9674346766697172,0.8322642382911724,0.9172175324675323,0.4412337662337662,42,4.0,near,0.8
,,,,base_msp,3600,0.9357819604840688,0.962977053575264,0.9535660173160174,0.1941558441558441,42,4.0,cross,0.8
,,,,base_energy,3600,0.9733001593254738,0.9850106377413174,0.9800978535353536,0.0818181818181818,42,4.0,cross,0.8
,,,,base_entropy,3600,0.9468149376913324,0.9741230068219217,0.9644311868686868,0.1733766233766233,42,4.0,cross,0.8
,,,,ffn_pnc,3600,0.9509435609578456,0.9765672085921298,0.9675119047619049,0.1629870129870129,42,4.0,cross,0.8
,,,,uncorrected,3600,0.9523555921054152,0.9806005040430064,0.971738997113997,0.0967532467532467,42,4.0,cross,0.8
,,,,head_pnc,3600,0.947051358240556,0.974167774327971,0.9644194624819624,0.174025974025974,42,4.0,cross,0.8
,,,,mc_dropout,3600,0.9553886425065148,0.9777704570084904,0.969599927849928,0.160064935064935,42,4.0,cross,0.8
,,,,base_msp,1000,0.98881323010473,0.9216617905109116,0.9682702922077924,0.1399350649350649,42,4.0,far,0.8
,,,,base_energy,1000,0.995979501406354,0.9744283278118828,0.9896944805194804,0.0435064935064935,42,4.0,far,0.8
,,,,base_entropy,1000,0.9919932691786072,0.9516616165331404,0.978413961038961,0.1168831168831168,42,4.0,far,0.8
,,,,ffn_pnc,1000,0.992935037414452,0.9572884011413488,0.9810097402597404,0.1064935064935064,42,4.0,far,0.8
,,,,uncorrected,1000,0.9957016696828028,0.973359260237114,0.988782792207792,0.0314935064935064,42,4.0,far,0.8
,,,,head_pnc,1000,0.9919014006017012,0.9516129455997044,0.9782292207792208,0.1194805194805194,42,4.0,far,0.8
,,,,mc_dropout,1000,0.993322369932697,0.9594246936927694,0.982147077922078,0.097077922077922,42,4.0,far,0.8
0.9830508474576272,0.0254070740193128,0.0087412268309626,0.0686229839920997,base_msp,1003,,,,,123,4.0,id_val,0.8
0.9830508474576272,0.0254070740193128,0.0087412268309626,0.0686229839920997,base_energy,1003,,,,,123,4.0,id_val,0.8
0.9830508474576272,0.0254070740193128,0.0087412268309626,0.0686229839920997,base_entropy,1003,,,,,123,4.0,id_val,0.8
0.984047856430708,0.0256710797548294,0.0088787605375022,0.0690800845623016,ffn_pnc,1003,,,,,123,4.0,id_val,0.8
